dwRepresentID	szColorIndices	szDetailIndex0	szDetailIndex1	szDetailIndex2	szDetailIndex3	szDetailIndex4	szDetailIndex5	szDetailIndex6	szDetailIndex7
6039	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6040	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6045	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6046	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6050	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6052	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6053	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6054	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6055	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6056	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6080	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	217;174;162		
6081	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6082	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6083	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	242;201;170		
6223	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6224	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6225	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6226	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6311	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6313	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6337	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6740	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6742	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	129;68;74		
6743	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6744	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6745	0;1;2;3;4;5	252;252;252	221;169;165	223;183;153	162;103;74	135;121;80	157;167;158		
6747	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6773	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6774	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6775	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6783	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
6785	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	184;187;176		
7090	0;1;	0;0;0	255;255;255						
7091	0;1;	0;0;0	255;255;255						
7092	0;1;	0;0;0	255;255;255						
7093	0;1;	0;0;0	255;255;255						
7094	0;1;	0;0;0	255;255;255						
7167	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
7246	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	184;187;176		
7290	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
7294	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
7877	0;1;	0;0;0	255;255;255						
7878	0;1;	0;0;0	255;255;255						
7879	0;1;	0;0;0	255;255;255						
8072	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	101;28;17		
8073	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	193;55;34		
8074	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	127;40;23		
8075	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
8076	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
8079	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
8127	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
8128	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
8129	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
8130	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
8131	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
8132	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
8133	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
8134	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
8135	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
8136	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
8138	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
8139	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
8140	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
8141	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
8142	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
8143	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
8153	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
8154	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
8155	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
8156	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
8157	0;1;2;3;4;5	252;252;252	217;182;150	222;185;125	162;103;74	135;121;80	186;131;111		
8158	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
9032	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
9033	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
9126	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
9172	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	223;107;156		
9187	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
9188	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
9190	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
9191	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
9203	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
9204	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
9207	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
9415	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
9547	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
9548	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
9550	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
9554	0;1;	0;0;0	255;255;255						
9555	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
9558	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
9564	0;1;2;3;4;5	252;252;252	244;30;105	235;140;48	185;226;160	53;150;233	82;15;121		
