ID	MaxAmount	LevelLimit	Quality	QualityLevel	Category1	Category2	Category3	Attribute1	Attribute2	Attribute3	Attribute4	Attribute5	Attribute6	Attribute7	Attribute8	Label	SetID	SetIndex	Architecture	MaxAmountPerLand	Coin
42	30000	20	1	1	1	3	0	0	0	0	0	0	10	10	10	0			0	999	
43	30000	20	1	1	1	1	0	0	0	0	0	0	10	10	10	0			0	999	
44	30000	20	1	1	1	1	0	0	0	0	0	0	10	10	10	0			0	999	
45	30000	20	1	1	1	1	0	0	0	0	0	0	10	10	10	0			0	999	
46	30000	20	1	1	1	1	0	0	0	0	0	0	10	10	10	0			0	999	
47	30000	20	1	1	1	2	0	0	0	0	0	0	10	10	10	0			0	999	
48	30000	20	1	1	1	1	0	0	0	0	0	0	10	10	10	0			0	999	
49	30000	20	1	1	1	1	0	0	0	0	0	0	10	10	10	0			0	999	
50	30000	20	1	1	1	1	0	0	0	0	0	0	10	10	10	0			0	999	
51	30000	20	1	1	1	3	0	0	0	0	0	0	10	10	10	0			0	999	
52	30000	20	1	1	1	3	0	0	0	0	0	0	10	10	10	0			0	999	
53	30000	20	1	1	1	2	0	0	0	0	0	0	10	10	10	0			0	999	
54	30000	20	1	1	1	2	0	0	0	0	0	0	10	10	10	0			0	999	
55	30000	20	1	1	1	2	0	0	0	0	0	0	10	10	10	0			0	999	
56	30000	20	1	1	1	1	0	0	0	0	0	0	10	10	10	0			0	999	
57	30000	20	1	1	1	2	0	0	0	0	0	0	10	10	10	0			0	999	
58	30000	20	1	1	1	1	0	0	0	0	0	0	10	10	10	0			0	999	
59	30000	20	1	1	1	1	0	0	0	0	0	0	10	10	10	0			0	999	
60	30000	20	1	1	1	1	0	0	0	0	0	0	10	10	10	0			0	999	
61	30000	20	1	1	1	2	0	0	0	0	0	0	10	10	10	0			0	999	
62	30000	20	1	1	1	1	0	0	0	0	0	0	10	10	10	0			0	999	
63	30000	20	1	1	1	1	0	0	0	0	0	0	10	10	10	0			0	999	
64	30000	20	1	1	1	1	0	0	0	0	0	0	10	10	10	0			0	999	
65	30000	20	1	1	1	1	0	0	0	0	0	0	10	10	10	0			0	999	
66	30000	20	1	1	1	1	0	0	0	0	0	0	10	10	10	0			0	999	
67	30000	20	1	1	1	6	0	0	0	0	0	0	10	10	10	0			0	999	
68	30000	20	1	1	1	8	0	0	0	0	0	0	10	10	10	0			0	999	
69	30000	20	1	1	1	8	0	0	0	0	0	0	10	10	10	0			0	999	
70	30000	20	1	1	1	5	0	0	0	0	0	0	10	10	10	0			0	999	
71	30000	20	1	1	1	5	0	0	0	0	0	0	10	10	10	0			0	999	
72	30000	20	1	1	1	1	0	0	0	0	0	0	10	10	10	0			0	999	
73	30000	20	1	1	1	1	0	0	0	0	0	0	10	10	10	0			0	999	
74	30000	20	1	1	1	1	0	0	0	0	0	0	10	10	10	0			0	999	
75	30000	20	1	1	1	1	0	0	0	0	0	0	10	10	10	0			0	999	
76	30000	20	1	1	1	1	0	0	0	0	0	0	10	10	10	0			0	999	
77	30000	20	1	1	1	1	0	0	0	0	0	0	10	10	10	0			0	999	
78	30000	20	1	1	1	2	0	0	0	0	0	0	10	10	10	0			0	999	
79	30000	20	1	1	1	2	0	0	0	0	0	0	10	10	10	0			0	999	
80	30000	20	1	1	1	1	0	0	0	0	0	0	10	10	10	0			0	999	
81	30000	20	1	1	1	1	0	0	0	0	0	0	10	10	10	0			0	999	
82	30000	20	1	1	1	1	0	0	0	0	0	0	10	10	10	0			0	999	
83	30000	20	1	1	1	2	0	0	0	0	0	0	10	10	10	0			0	999	
84	30000	20	1	1	1	2	0	0	0	0	0	0	10	10	10	0			0	999	
85	30000	20	1	1	1	1	0	0	0	0	0	0	10	10	10	0			0	999	
86	30000	20	1	1	1	2	0	0	0	0	0	0	10	10	10	0			0	999	
87	30000	20	1	1	1	3	0	0	0	0	0	0	10	10	10	0			0	999	
88	30000	20	1	1	1	1	0	0	0	0	0	0	10	10	10	0			0	999	
89	30000	20	1	1	1	1	0	0	0	0	0	0	10	10	10	0			0	999	
90	30000	20	1	1	1	1	0	0	0	0	0	0	10	10	10	0			0	999	
91	30000	20	1	1	1	2	0	0	0	0	0	0	10	10	10	0			0	999	
92	30000	20	1	1	1	1	0	0	0	0	0	0	10	10	10	0			0	999	
93	30000	20	1	1	1	1	0	0	0	0	0	0	10	10	10	0			0	999	
94	30000	20	1	1	1	1	0	0	0	0	0	0	10	10	10	0			0	999	
95	30000	20	1	1	1	1	0	0	0	0	0	0	10	10	10	0			0	999	
96	30000	20	1	1	1	1	0	0	0	0	0	0	10	10	10	0			0	999	
97	30000	20	1	1	1	3	0	0	0	0	0	0	10	10	10	0			0	999	
98	30000	20	1	1	1	3	0	0	0	0	0	0	10	10	10	0			0	999	
99	30000	20	1	1	1	8	0	0	0	0	0	0	10	10	10	0			0	999	
100	30000	20	1	1	1	7	0	0	0	0	0	0	10	10	10	0			0	999	
101	30000	20	1	1	1	5	0	0	0	0	0	0	10	10	10	0			0	999	
102	30000	1	4	800	3	13	0	750	0	0	2250	0	10	10	10	0			0	16	
103	30000	6	2	410	3	13	0	76	76	0	265	73	10	10	10	0	142	6	1400	999	
104	30000	7	2	400	3	13	0	259	74	0	72	74	10	10	10	0	142	7	1360	999	
105	30000	10	4	1000	3	13	0	2025	581	0	562	581	10	10	10	0	51	1	0	16	
106	30000	8	3	615	3	13	0	190	190	0	184	664	10	10	10	0	138	12	3500	999	
107	30000	1	1	200	3	13	0	64	18	0	18	18	10	10	10	0	142	8	340	999	
108	30000	3	1	200	3	13	0	18	64	0	18	18	10	10	10	0	140	11	340	999	
109	30000	10	4	820	3	13	0	476	476	0	1660	461	10	10	10	0	140	6	8760	16	
110	30000	1	4	1100	3	13	0	0	562	581	2025	581	10	10	10	0	19	9	0	16	
111	30000	10	4	1000	3	13	0	581	581	0	562	2025	10	10	10	0	51	2	0	16	
112	30000	1	1	200	2	7	0	32	9	9	9	0	10	10	10	0	115	6	170	999	
113	30000	1	1	200	2	7	0	9	21	9	9	9	10	10	10	0	67	1	0	999	
114	30000	4	1	205	2	7	0	9	9	0	9	33	10	10	10	0	116	1	170	999	
115	30000	7	2	420	2	7	0	50	50	50	50	50	10	10	10	0	116	2	710	999	
116	30000	1	4	800	2	9	0	562	0	0	0	1687	10	10	10	0	55	1	0	16	
117	30000	1	4	800	2	9	0	0	562	0	0	1687	10	10	10	0	55	2	0	16	
118	30000	1	4	800	2	9	0	337	348	348	1215	0	10	10	10	0	55	3	0	16	
119	30000	1	4	800	2	9	0	348	348	0	1215	337	10	10	10	0			0	16	
120	30000	10	4	1000	2	9	0	435	0	421	1518	435	10	10	10	0	51	3	0	16	
121	30000	1	4	800	2	9	0	0	337	348	1215	348	10	10	10	0			0	16	
122	30000	1	4	800	2	9	0	1215	348	0	337	348	10	10	10	0	55	4	0	16	
123	30000	1	3	600	2	8	0	247	0	1155	0	247	10	10	10	0	72	1	0	999	
124	30000	9	3	645	2	8	0	266	0	1241	266	0	10	10	10	0	117	9	5050	999	
125	30000	6	3	600	2	8	0	264	594	264	264	264	10	10	10	0	121	8	4700	999	
126	30000	1	3	600	2	8	0	1155	0	0	247	247	10	10	10	0	72	2	0	999	
127	30000	1	4	880	2	8	0	1633	726	726	726	726	10	10	10	0	44	1	0	24	
128	30000	1	3	600	2	8	0	247	1155	247	0	0	10	10	10	0	53	2	0	999	
129	30000	1	4	800	2	8	0	0	2887	0	618	618	10	10	10	0	54	5	0	24	
130	30000	10	3	645	2	8	0	283	283	283	638	283	10	10	10	0	116	3	5050	999	
131	30000	6	2	420	2	8	0	103	107	107	0	374	10	10	10	0	119	2	1970	999	
132	30000	8	2	420	2	8	0	107	107	0	103	374	10	10	10	0	119	3	1970	999	
133	30000	9	3	645	2	8	0	283	283	638	283	283	10	10	10	0	119	4	5050	999	
134	30000	1	3	600	2	8	0	0	247	1155	247	0	10	10	10	0	66	1	0	999	
135	30000	5	2	410	2	8	0	104	0	365	104	101	10	10	10	0	119	5	1920	999	
136	30000	11	4	860	2	8	0	1596	709	709	709	709	10	10	10	0	122	6	12630	24	
137	30000	10	4	1000	2	12	0	7931	3525	3525	3525	3525	10	10	10	0	51	4	0	5	
138	30000	5	3	600	4	10	0	0	0	0	0	0	10	10	10	0	143	6	850	16	
139	30000	1	3	600	2	20	0	0	0	0	0	0	10	10	10	0			0	999	
140	30000	9	3	645	2	3	0	159	159	0	744	0	10	10	10	0	121	5	3030	999	
141	30000	5	2	420	2	3	0	62	0	291	62	0	10	10	10	0	121	9	1180	999	
142	30000	12	4	860	2	3	0	425	425	425	957	425	10	10	10	0	121	10	7580	16	
143	30000	11	4	860	2	3	0	665	1995	0	0	0	10	10	10	0	122	7	7580	16	
144	30000	1	1	200	2	3	0	0	15	53	14	15	10	10	10	0	66	8	0	999	
145	30000	1	1	200	2	3	0	15	35	15	15	15	10	10	10	0	109	1	280	999	
146	30000	10	4	860	2	3	0	425	957	425	425	425	10	10	10	0	123	9	7580	16	
147	30000	1	3	600	2	3	0	0	148	693	0	148	10	10	10	0	124	1	2820	999	
148	30000	1	3	600	2	3	0	693	0	148	0	148	10	10	10	0	66	9	0	999	
149	30000	8	3	630	2	6	0	393	393	393	393	884	10	10	10	0	109	2	7000	999	
150	30000	1	2	400	2	6	0	655	0	0	140	140	10	10	10	0	72	3	0	999	
151	30000	1	3	600	2	3	0	148	693	0	148	0	10	10	10	0	65	1	0	999	
152	30000	3	2	420	2	3	0	62	291	62	0	0	10	10	10	0	110	4	1180	999	
153	30000	8	3	645	2	3	0	159	0	159	744	0	10	10	10	0	109	3	3030	999	
154	30000	1	3	600	2	3	0	0	148	148	693	0	10	10	10	0	69	1	0	999	
155	30000	1	3	600	2	4	0	0	525	112	112	0	10	10	10	0	71	1	0	999	
156	30000	5	3	615	2	4	0	119	119	0	415	115	10	10	10	0	109	4	2190	999	
157	30000	11	4	900	2	4	0	326	316	1139	0	326	10	10	10	0	23	6	6000	20	
158	30000	1	1	200	2	4	0	11	11	11	40	0	10	10	10	0	118	1	210	999	
159	30000	7	4	840	2	13	0	1008	1008	1008	2268	1008	10	10	10	0	109	5	17940	4	
160	30000	9	4	840	2	13	0	2268	1008	1008	1008	1008	10	10	10	0	109	6	17940	4	
161	30000	4	1	200	2	4	0	0	11	11	0	52	10	10	10	0	116	4	210	999	
162	30000	13	3	645	3	14	0	894	0	0	298	0	10	10	10	0	138	13	3390	999	
163	30000	1	1	200	2	17	0	0	4	4	0	21	10	10	10	0	48	11	0	999	
164	30000	8	2	400	3	14	0	0	333	111	0	0	10	10	10	0	138	16	1260	999	
165	30000	1	3	600	2	4	0	0	0	187	562	0	10	10	10	0	67	2	0	999	
167	30000	10	4	1000	3	14	0	2601	0	0	867	0	10	10	10	0	51	5	0	16	
168	30000	1	4	880	2	6	0	965	997	3474	997	0	10	10	10	0	20	7	0	15	
169	30000	1	4	880	2	6	0	997	965	3474	0	997	10	10	10	0	20	8	0	15	
170	30000	1	4	880	2	6	0	997	0	3474	997	965	10	10	10	0	20	9	0	15	
171	30000	1	1	200	2	3	0	15	15	15	35	15	10	10	10	0	111	1	280	999	
172	30000	1	1	200	2	3	0	15	53	14	0	15	10	10	10	0	70	1	0	999	
173	30000	4	1	210	2	3	0	0	0	72	15	15	10	10	10	0	110	1	290	999	
174	30000	8	2	430	2	3	0	297	63	0	63	0	10	10	10	0	111	2	1210	999	
175	30000	10	4	1000	2	3	0	1113	495	495	495	495	10	10	10	0	51	6	0	16	
176	30000	1	3	600	2	3	0	356	158	158	158	158	10	10	10	0	54	3	0	999	
177	30000	1	4	800	2	6	0	4094	877	0	0	877	10	10	10	0	67	3	0	15	
178	30000	1	3	600	2	6	0	1263	351	362	362	0	10	10	10	0	67	4	0	999	
179	30000	1	4	1000	2	6	0	5484	0	0	0	1828	10	10	10	0	51	7	0	15	
180	30000	13	4	860	2	6	0	1006	2263	1006	1006	1006	10	10	10	0	117	10	17910	15	
181	30000	10	2	430	2	6	0	362	160	160	160	160	10	10	10	0	122	8	2860	999	
182	30000	1	3	600	2	6	0	1755	0	0	585	0	10	10	10	0	54	4	0	999	
183	30000	10	4	1000	2	6	0	1096	0	0	5118	1096	10	10	10	0	51	8	0	15	
184	30000	1	2	400	2	5	0	11	0	10	38	11	10	10	10	0	65	2	0	999	
185	30000	4	1	205	2	5	0	9	2	0	2	2	10	10	10	0	113	1	50	999	
186	30000	1	2	400	2	5	0	0	11	38	10	11	10	10	10	0	66	10	0	999	
187	30000	1	1	200	2	5	0	2	2	2	9	0	10	10	10	0	69	2	0	999	
188	30000	7	1	210	2	5	0	0	2	0	13	2	10	10	10	0	111	3	50	999	
189	30000	5	2	420	2	5	0	52	0	11	0	11	10	10	10	0	115	8	210	999	
190	30000	1	2	400	2	5	0	11	38	10	0	11	10	10	10	0	54	1	0	999	
191	30000	9	2	420	2	5	0	18	0	56	0	0	10	10	10	0	118	2	210	999	
192	30000	1	4	880	2	5	0	74	267	76	76	0	10	10	10	0	20	10	0	15	
193	30000	1	2	400	2	5	0	0	10	50	0	10	10	10	10	0	71	2	0	999	
194	30000	3	1	200	2	5	0	0	2	9	2	2	10	10	10	0	109	7	50	999	
195	30000	1	3	600	2	5	0	27	0	27	126	0	10	10	10	0	111	4	510	999	
196	30000	8	2	400	2	5	0	0	0	18	0	54	10	10	10	0	110	2	200	999	
197	30000	1	3	600	2	5	0	0	27	0	27	126	10	10	10	0	65	3	0	999	
198	30000	6	4	840	2	13	0	1008	1008	2268	1008	1008	10	10	10	0	120	8	17940	4	
199	30000	10	4	1000	2	13	0	1200	1200	1200	1200	2700	10	10	10	0	51	9	0	4	
200	30000	8	1	210	2	17	0	22	4	0	4	0	10	10	10	0	119	6	80	999	
201	30000	10	2	430	2	17	0	46	20	20	20	20	10	10	10	0	119	7	360	999	
202	30000	12	3	645	2	17	0	49	174	48	0	49	10	10	10	0	119	8	910	999	
203	30000	3	2	410	2	10	0	55	0	55	0	258	10	10	10	0	122	9	1050	999	
204	30000	4	1	205	2	10	0	64	13	0	13	0	10	10	10	0	123	10	260	999	
205	30000	1	2	400	2	10	0	54	251	0	0	54	10	10	10	0	69	3	0	999	
206	30000	1	2	400	2	10	0	0	54	251	54	0	10	10	10	0	68	1	0	999	
207	30000	8	2	420	2	10	0	60	60	60	60	136	10	10	10	0	124	2	1070	999	
208	30000	1	2	400	2	10	0	55	54	194	0	55	10	10	10	0	75	7	0	999	
209	30000	11	4	840	2	10	0	850	378	378	378	378	10	10	10	0	112	1	6730	24	
210	30000	9	2	420	2	11	0	176	37	0	37	0	10	10	10	0	111	5	710	999	
211	30000	11	3	645	2	11	0	103	103	103	103	232	10	10	10	0	117	1	1830	999	
212	30000	1	2	420	2	11	0	37	0	176	0	37	10	10	10	0	122	5	710	999	
213	30000	1	4	800	2	12	0	2820	2820	2820	6345	2820	10	10	10	0	54	6	0	5	
214	30000	10	3	645	2	12	0	2728	1212	1212	1212	1212	10	10	10	0	115	5	21590	999	
215	30000	14	4	860	2	12	0	6820	3031	3031	3031	3031	10	10	10	0	121	11	53970	5	
216	30000	12	3	645	2	11	0	348	96	99	99	0	10	10	10	0	117	2	1830	999	
217	30000	1	3	600	2	12	0	1128	2538	1128	1128	1128	10	10	10	0	53	4	0	999	
218	30000	5	3	615	2	12	0	1156	1156	1156	2601	1156	10	10	10	0	110	10	20580	999	
219	30000	1	2	400	2	11	0	0	37	129	36	37	10	10	10	0	67	5	0	999	
220	30000	1	4	1100	2	11	0	300	300	300	675	300	10	10	10	0	19	10	0	36	
221	30000	12	4	900	2	12	0	3172	3172	3172	3172	7138	10	10	10	0	26	7	56490	5	
222	30000	6	2	420	2	15	0	18	18	0	88	0	10	10	10	0	123	11	350	999	
223	30000	1	3	630	2	16	0	136	136	136	306	136	10	10	10	0	117	3	2420	999	
224	30000	8	2	420	2	15	0	0	0	18	88	18	10	10	10	0	117	4	350	999	
225	30000	7	2	420	2	16	0	51	51	0	238	0	10	10	10	0	121	12	960	999	
229	30000	11	3	645	2	15	0	48	225	48	0	0	10	10	10	0	112	2	910	999	
230	30000	10	3	645	2	15	0	174	48	49	49	0	10	10	10	0	111	6	910	999	
232	30000	1	3	600	2	15	0	0	0	0	75	225	10	10	10	0	68	2	0	999	
237	30000	1	2	400	2	16	0	51	116	51	51	51	10	10	10	0	48	3	0	999	
239	30000	11	2	430	2	15	0	20	46	20	20	20	10	10	10	0	117	5	360	999	
240	30000	13	3	645	2	15	0	51	51	51	116	51	10	10	10	0	114	3	910	999	
241	30000	1	3	600	2	15	0	75	0	0	0	225	10	10	10	0	67	6	0	999	
242	30000	1	3	600	2	15	0	0	0	75	0	225	10	10	10	0	67	7	0	999	
243	30000	9	2	420	2	15	0	88	0	18	0	18	10	10	10	0	120	1	350	999	
245	30000	8	1	210	2	15	0	4	0	22	0	4	10	10	10	0	118	3	80	999	
246	30000	7	2	420	2	15	0	0	0	18	18	88	10	10	10	0	118	4	350	999	
248	30000	12	2	400	3	14	0	310	0	66	66	0	10	10	10	0	140	12	1260	999	
249	30000	14	4	860	2	17	0	129	129	129	129	290	10	10	10	0	121	13	2290	16	
250	30000	4	1	205	2	17	0	4	0	4	21	0	10	10	10	0	112	9	80	999	
251	30000	6	1	210	2	17	0	23	7	0	0	0	10	10	10	0	112	10	80	999	
252	30000	1	4	800	3	14	0	1942	416	0	0	416	10	10	10	0	62	8	0	16	
253	30000	11	2	430	2	17	0	69	19	0	19	19	10	10	10	0	118	5	360	999	
254	30000	9	1	210	2	17	0	5	11	5	5	5	10	10	10	0	112	11	80	999	
255	30000	1	2	400	4	10	0	168	36	0	36	0	10	10	10	0			0	16	
256	30000	1	1	200	2	1	0	28	28	28	28	64	10	10	10	0	113	2	510	999	
257	30000	5	2	400	2	2	0	252	0	0	1176	252	10	10	10	0	113	3	4780	999	
258	30000	1	1	200	2	1	0	28	64	28	28	28	10	10	10	0	68	3	0	999	
259	30000	1	2	400	2	1	0	504	108	0	108	0	10	10	10	0	65	4	0	999	
260	30000	5	1	200	2	1	0	27	0	0	126	27	10	10	10	0	116	5	510	999	
261	30000	1	3	600	2	2	0	0	2940	630	0	630	10	10	10	0	68	4	0	999	
262	30000	1	1	200	2	2	0	0	63	294	63	0	10	10	10	0	115	1	1190	999	
263	30000	10	4	1000	2	1	0	2025	900	900	900	900	10	10	10	0	51	10	0	4	
264	30000	1	3	600	2	1	0	360	360	360	360	360	10	10	10	0	111	7	5120	999	
265	30000	8	4	820	2	1	0	738	1660	738	738	738	10	10	10	0	114	10	13140	4	
266	30000	9	4	820	2	2	0	3874	1722	1722	1722	1722	10	10	10	0	112	3	30660	4	
267	30000	7	3	600	2	2	0	672	1512	672	672	672	10	10	10	0	116	6	11960	999	
268	30000	10	4	1000	2	2	0	2100	2100	2100	2100	4725	10	10	10	0	51	11	0	4	
269	30000	1	3	615	2	4	0	0	192	0	0	576	10	10	10	0	70	2	0	999	
270	30000	9	3	630	2	4	0	122	122	0	425	118	10	10	10	0	122	10	2240	999	
271	30000	12	3	645	2	4	0	129	129	129	290	129	10	10	10	0	120	5	2290	999	
272	30000	1	3	600	2	4	0	0	0	562	0	187	10	10	10	0	72	4	0	999	
273	30000	13	4	900	2	4	0	326	0	316	1139	326	10	10	10	0	26	8	6000	20	
274	30000	5	3	600	2	4	0	525	0	0	112	112	10	10	10	0	121	14	2130	999	
275	30000	20	1	1	2	4	0	0	0	0	0	0	10	10	10	0			0	999	
276	30000	20	1	1	2	4	0	0	0	0	0	0	10	10	10	0			0	999	
277	30000	20	1	1	2	4	0	0	0	0	0	0	10	10	10	0			0	999	
278	30000	20	1	1	2	4	0	0	0	0	0	0	10	10	10	0			0	999	
279	30000	20	1	1	2	4	0	0	0	0	0	0	10	10	10	0			0	999	
280	30000	6	1	205	2	4	0	53	0	0	11	11	10	10	10	0	111	8	210	999	
281	30000	1	3	600	2	4	0	562	0	0	187	0	10	10	10	0	67	8	0	999	
282	30000	5	2	400	2	4	0	75	225	0	0	0	10	10	10	0	123	12	850	999	
283	30000	4	2	410	2	4	0	0	46	215	46	0	10	10	10	0	109	8	870	999	
284	30000	10	4	800	2	4	0	0	0	468	0	1406	10	10	10	0	124	3	5340	20	
285	30000	8	2	400	2	4	0	0	45	46	46	162	10	10	10	0	124	4	850	999	
286	30000	5	2	410	2	4	0	46	0	0	215	46	10	10	10	0	111	9	870	999	
287	30000	5	1	205	2	19	0	1	1	1	1	1	10	10	10	0	119	1	20	999	
292	30000	12	2	430	2	17	0	20	20	20	46	20	10	10	10	0	115	2	360	999	
293	30000	3	1	205	2	17	0	4	11	4	4	4	10	10	10	0	117	6	80	999	
294	30000	1	1	200	2	17	0	4	4	4	10	4	10	10	10	0	47	4	0	999	
295	30000	1	1	205	2	17	0	4	4	4	4	11	10	10	10	0	48	12	0	999	
296	30000	5	1	205	2	17	0	0	21	4	0	4	10	10	10	0	121	4	80	999	
300	30000	12	3	630	3	13	0	195	680	0	189	195	10	10	10	0	138	19	3580	999	
301	30000	14	4	840	3	13	0	1701	488	0	472	488	10	10	10	0	139	11	8970	16	
302	30000	15	4	800	3	8	0	2175	2175	2175	2175	2175	10	10	10	0	140	7	30980	8	
303	30000	10	4	860	2	10	0	387	387	870	387	387	10	10	10	0	115	7	6890	24	
304	30000	10	4	1000	2	10	0	450	1012	450	450	450	10	10	10	0	51	12	0	24	
305	30000	7	3	630	2	10	0	340	151	151	151	151	10	10	10	0	124	5	2690	999	
306	30000	20	1	1	2	10	0	0	0	0	0	0	10	10	10	0			0	999	
307	30000	1	4	828	3	6	0	491	1106	491	491	491	10	10	10	0	60	1	0	24	
309	30000	20	1	1	3	2	0	0	0	0	0	0	10	10	10	0			0	999	
311	30000	20	1	1	3	2	0	0	0	0	0	0	10	10	10	0			0	999	
350	30000	20	1	1	3	4	0	0	0	0	0	0	10	10	10	0			0	999	
351	30000	20	1	1	3	4	0	0	0	0	0	0	10	10	10	0			0	999	
352	30000	11	3	630	3	3	0	19	18	68	0	19	10	10	10	0	131	3	350	999	
353	30000	12	3	630	3	3	0	18	19	68	19	0	10	10	10	0	131	4	350	999	
354	30000	1	2	420	3	3	0	8	8	8	18	8	10	10	10	0	134	10	140	80	
355	30000	7	3	630	3	4	0	765	0	219	219	212	10	10	10	0	132	1	4030	999	
356	30000	15	4	860	3	3	0	51	51	51	116	51	10	10	10	0			910	100	
357	30000	20	1	1	3	4	0	0	0	0	0	0	10	10	10	0			0	999	
358	30000	20	1	1	3	4	0	0	0	0	0	0	10	10	10	0			0	999	
359	30000	4	1	205	3	4	0	22	22	22	22	49	10	10	10	0	131	1	390	999	
360	30000	14	4	860	3	3	0	49	174	48	0	49	10	10	10	0	128	22	910	100	
361	30000	5	1	205	3	4	0	22	22	49	22	22	10	10	10	0	134	7	390	999	
362	30000	5	1	205	3	4	0	21	20	74	0	21	10	10	10	0	134	8	390	999	
363	30000	6	1	210	3	4	0	22	22	22	22	51	10	10	10	0	132	13	400	999	
364	30000	11	1	200	3	4	0	48	21	21	21	21	10	10	10	0	134	4	380	999	
365	30000	9	1	215	3	4	0	21	101	0	21	0	10	10	10	0	134	2	410	999	
366	30000	2	1	200	3	4	0	21	48	21	21	21	10	10	10	0	135	25	380	999	
367	30000	12	3	600	3	3	0	19	43	19	19	19	10	10	10	0	127	1	340	999	
368	30000	7	1	210	3	3	0	1	1	1	6	0	10	10	10	0	127	2	30	999	
369	30000	12	1	200	3	4	0	20	72	20	20	0	10	10	10	0	135	15	380	999	
370	30000	13	2	410	3	4	0	88	88	88	199	88	10	10	10	0	132	2	1570	999	
371	30000	3	2	410	3	4	0	88	199	88	88	88	10	10	10	0	130	28	1570	999	
372	30000	14	2	410	3	4	0	0	83	85	298	85	10	10	10	0	134	11	1570	999	
373	30000	15	2	420	3	4	0	87	87	0	85	306	10	10	10	0	130	22	1610	999	
374	30000	13	4	840	3	3	0	50	113	50	50	50	10	10	10	0	128	23	890	100	
