ID	ForceID	KungfuID	Solution	Qixue1	QixueList1	Qixue2	QixueList2	Qixue3	QixueList3	Qixue4	QixueList4	Qixue5	QixueList5	Qixue6	QixueList6
12		10145	PVP奇穴推荐	热度最高	97,3,1665;98,2,5954;99,4,1647;100,4,18309;101,1,5959;102,1,21737;103,1,6545;104,4,18316;105,4,1610;106,3,14607;107,2,1655;108,4,14910;	胜率最高	97,3,1665;98,2,5954;99,4,1647;100,3,6543;101,3,6541;102,1,21737;103,1,6545;104,4,18316;105,2,6542;106,3,14607;107,2,1655;108,4,14910;	攻防/战场等团战奇穴	97,3,1665;98,2,5954;99,1,5955;100,3,6543;101,3,6541;102,3,5957;103,4,14604;104,4,18316;105,2,6542;106,3,14607;107,3,5963;108,2,14600;	绝境战场奇穴	97,3,1665;98,2,5954;99,4,1647;100,3,6543;101,3,6541;102,1,21737;103,4,14604;104,4,18316;105,4,1610;106,3,14607;107,2,1655;108,4,14910;				
13		10175	PVP奇穴推荐	热度最高	133,3,6620;134,1,6658;135,2,6629;136,1,6627;137,1,6625;138,2,6636;139,4,2218;140,4,18330;141,3,18689;142,4,2227;143,3,14861;144,4,15121;	胜率最高	133,3,6620;134,3,6649;135,2,6629;136,3,6879;137,3,6880;138,2,6636;139,4,2218;140,4,18330;141,3,18689;142,4,2227;143,5,25018;144,4,15121;	攻防/战场等团战奇穴	133,3,6620;134,1,6658;135,1,6628;136,2,21819;137,1,6625;138,4,14864;139,4,2218;140,4,18330;141,3,18689;142,5,25038;143,3,14861;144,5,25043;	绝境战场奇穴	133,3,6620;134,1,6658;135,2,6629;136,1,6627;137,4,18312;138,3,6637;139,3,18319;140,1,18320;141,3,18689;142,4,2227;143,3,14861;144,4,15121;				
14		10176	PVP奇穴推荐	热度最高	145,3,6663;146,1,6658;147,1,6666;148,4,18311;149,2,6883;150,4,6892;151,4,6043;152,2,6884;153,3,18691;154,3,18883;155,2,14867;156,4,15132;	胜率最高	145,3,6663;146,1,6658;147,1,6666;148,3,6879;149,2,6883;150,4,6892;151,4,6043;152,4,21746;153,5,25047;154,3,18883;155,2,14867;156,4,15132;	攻防/战场等团战奇穴	145,3,6663;146,1,6658;147,1,6666;148,3,6879;149,2,6883;150,4,6892;151,2,6673;152,4,21746;153,3,18691;154,3,18883;155,2,14867;156,4,15132;						
15		10224	PVP奇穴推荐	热度最高	193,2,6437;194,1,6438;195,1,5721;196,4,3092;197,3,6449;198,2,6451;199,1,6439;200,4,18241;201,2,6461;202,2,5709;203,5,25125;204,4,18672;	胜率最高	193,2,6437;194,1,6438;195,1,5721;196,2,6775;197,3,6449;198,2,6451;199,1,6439;200,3,21959;201,5,25118;202,5,25119;203,2,18664;204,5,25132;	攻防/战场等团战奇穴	193,2,6437;194,1,6438;195,1,5721;196,2,6775;197,3,6449;198,3,14811;199,4,18248;200,4,18241;201,3,6464;202,2,5709;203,2,18664;204,5,25132;	绝境战场奇穴	193,2,6437;194,1,6438;195,1,5721;196,2,6775;197,3,6449;198,1,6874;199,2,5719;200,1,14854;201,3,6464;202,4,17572;203,2,18664;204,4,18672;				
16		10225	PVP奇穴推荐	热度最高	181,2,6491;182,3,18237;183,2,6498;184,3,6507;185,2,6504;186,2,6451;187,4,18249;188,1,6890;189,2,6461;190,4,17572;191,5,25125;192,1,14857;	胜率最高	181,2,6491;182,3,18237;183,4,3115;184,2,6506;185,2,6504;186,2,6451;187,4,18249;188,1,6890;189,2,6461;190,1,5715;191,2,18664;192,1,14857;	攻防/战场等团战奇穴	181,3,6870;182,2,6492;183,2,6498;184,2,6506;185,2,6504;186,2,6451;187,4,18249;188,1,6890;189,3,6464;190,3,5728;191,2,18664;192,4,18675;	绝境战场奇穴	181,2,6491;182,2,6492;183,4,3115;184,3,6507;185,2,6504;186,4,20544;187,2,5719;188,1,6890;189,3,6464;190,4,17572;191,2,18664;192,4,18675;				
17		10242	PVP奇穴推荐	热度最高	109,3,5974;110,3,18279;111,3,22888;112,1,6717;113,2,5989;114,1,5968;115,4,6727;116,5,25160;117,4,3978;118,1,18634;119,4,18626;120,4,18629;	胜率最高	109,3,5974;110,3,18279;111,3,22888;112,1,6717;113,2,5989;114,4,18282;115,2,6720;116,5,25160;117,4,3978;118,1,18634;119,4,18626;120,4,18629;	攻防/战场等团战奇穴	109,3,5974;110,3,18279;111,2,5978;112,3,6732;113,2,5989;114,3,6719;115,3,6721;116,4,5985;117,1,5979;118,4,3971;119,4,18626;120,4,18629;	绝境战场奇穴	109,3,5974;110,2,5970;111,1,5967;112,3,6732;113,2,5989;114,2,6718;115,3,6721;116,3,6723;117,4,3978;118,1,18634;119,2,14694;120,4,18629;				
18		10243	PVP奇穴推荐	攻防/战场等团战奇穴	121,3,5974;122,2,6743;123,2,6748;124,4,6000;125,3,5990;126,3,6719;127,4,18634;128,1,14677;129,3,6897;130,3,5977;131,4,14674;132,1,14680;										
19		10268	PVP奇穴推荐	热度最高	205,3,6811;206,2,6813;207,2,6833;208,2,6820;209,3,6834;210,4,6832;211,1,6840;212,2,6824;213,2,6822;214,1,6843;215,1,14625;216,3,22032;	胜率最高	205,3,6811;206,2,6813;207,2,6833;208,2,6820;209,1,6823;210,1,14628;211,1,6840;212,2,6824;213,2,6822;214,1,6843;215,4,14626;216,3,22032;	攻防/战场等团战奇穴	205,3,6811;206,1,6816;207,2,6833;208,4,5272;209,4,5360;210,1,14628;211,2,6810;212,3,14633;213,2,6822;214,4,15211;215,5,25194;216,5,25197;	绝境战场奇穴	205,3,6811;206,2,6813;207,1,21284;208,4,5272;209,3,6834;210,2,6828;211,1,6840;212,2,6824;213,2,6822;214,4,15211;215,4,14626;216,3,22032;				
20		10389	其他奇穴推荐	单刷奇穴	217,2,13320;218,1,13089;219,4,13136;220,3,13138;221,1,13421;222,1,13132;223,4,14838;224,1,13098;225,1,13366;226,4,13134;227,2,14845;228,2,14848	攻防/战场等团战奇穴	217,3,13318;218,1,13089;219,4,13136;220,3,13138;221,1,13421;222,2,13133;223,1,13124;224,2,13071;225,4,13418;226,4,13134;227,3,14840;228,3,14849								
21		10390	PVP奇穴推荐	热度最高	229,1,13317;230,3,13090;231,1,13087;232,4,13109;233,4,13111;234,4,13397;235,2,13152;236,1,21282;237,1,13366;238,1,13304;239,1,14838;240,4,15196;	胜率最高	229,1,13317;230,3,13090;231,1,13087;232,4,13109;233,4,13111;234,4,13397;235,2,13152;236,1,21282;237,1,13366;238,2,13395;239,1,14838;240,4,15196;	攻防/战场等团战奇穴	229,3,13318;230,2,18354;231,3,13088;232,2,13278;233,2,13414;234,3,22025;235,1,14903;236,3,18723;237,1,13366;238,3,20984;239,2,13418;240,2,14843;	绝境战场奇穴	229,3,13318;230,1,13089;231,4,13372;232,2,13278;233,2,13414;234,1,13132;235,2,13152;236,3,18723;237,2,13073;238,2,13395;239,4,14841;240,4,15196;				
22		10447	PVP奇穴推荐	热度最高	241,2,14236;242,3,18374;243,3,24250;244,3,14285;245,3,14870;246,3,14152;247,4,18711;248,3,14873;249,2,14163;250,4,18712;251,2,14466;252,1,14441;	胜率最高	241,3,14465;242,3,18374;243,4,18381;244,4,14095;245,1,14336;246,3,14152;247,3,14143;248,1,24036;249,3,14164;250,1,21751;251,3,14155;252,3,14468;	攻防/战场等团战奇穴	241,2,14236;242,2,14321;243,4,18381;244,4,14095;245,1,14336;246,2,14146;247,3,14143;248,3,14873;249,2,14163;250,1,21751;251,3,14155;252,3,14468;	绝境战场奇穴	241,2,14236;242,3,18374;243,3,24250;244,3,14285;245,2,14309;246,3,14152;247,3,14143;248,3,14873;249,2,14163;250,1,21751;251,4,18705;252,1,14441;				
23		10448	PVP奇穴推荐	热度最高	253,3,14464;254,3,18382;255,4,14256;256,3,14285;257,4,14254;258,3,14253;259,4,23678;260,3,22797;261,4,14470;262,2,14557;263,4,22808;264,4,15068;	胜率最高	253,3,14464;254,3,18382;255,4,14256;256,3,14285;257,2,14164;258,3,14253;259,4,23678;260,3,22797;261,4,14470;262,2,14557;263,4,22808;264,4,15068;	攻防/战场等团战奇穴	253,3,14464;254,3,18382;255,3,14286;256,3,14285;257,4,14254;258,3,14253;259,4,23678;260,4,14874;261,4,14470;262,2,14557;263,4,22808;264,3,14442;						
24		10464	PVP奇穴推荐	热度最高	265,2,16692;266,2,16777;267,3,21264;268,3,16750;269,4,16726;270,3,16748;271,4,21858;272,4,17052;273,5,25256;274,5,25258;275,3,16893;276,1,16912;	胜率最高	265,3,17045;266,1,16847;267,2,17042;268,2,16799;269,3,16724;270,2,16781;271,4,21858;272,4,17052;273,4,16739;274,3,16957;275,3,16893;276,4,25639;	攻防/战场等团战奇穴	265,2,16692;266,1,16847;267,2,17042;268,2,16799;269,4,16726;270,3,16748;271,3,17047;272,4,17052;273,4,16739;274,4,16734;275,3,16893;276,4,25639;	绝境战场奇穴	265,3,17045;266,3,16816;267,4,17054;268,1,16779;269,2,16722;270,4,21753;271,1,16733;272,3,16731;273,4,16739;274,4,16734;275,4,21955;276,4,25639;				
25		10533	PVP奇穴推荐	热度最高	277,3,20334;278,2,20335;279,2,20718;280,4,20694;281,3,20719;282,4,21813;283,4,20697;284,5,25270;285,2,21293;286,1,20374;287,2,20372;288,2,20701;	胜率最高	277,3,20334;278,2,20335;279,2,20718;280,4,20694;281,3,20719;282,4,21813;283,3,20729;284,3,20756;285,3,20759;286,1,20374;287,4,20601;288,4,20837;	攻防/战场等团战奇穴	277,3,20334;278,2,20335;279,2,20718;280,2,20720;281,4,20695;282,2,20363;283,3,20729;284,3,20756;285,1,20351;286,3,20641;287,4,20601;288,4,20837;	绝境战场奇穴	277,3,20334;278,2,20335;279,2,20718;280,3,20721;281,1,20368;282,3,20696;283,3,20729;284,3,20756;285,1,20351;286,3,20641;287,3,20741;288,4,20837;				
26		10585	PVP奇穴推荐	热度最高	289,3,22559;290,3,22562;291,2,22568;292,3,22973;293,4,22574;294,4,22564;295,4,22582;296,2,23971;297,3,22598;298,5,25310;299,2,22595;300,4,22603;	胜率最高	289,3,22559;290,3,22562;291,4,22586;292,3,22973;293,4,22574;294,4,22564;295,4,22582;296,1,22583;297,3,22598;298,1,22602;299,4,22597;300,4,22603;	攻防/战场等团战奇穴	289,2,22558;290,3,22562;291,3,22565;292,1,22571;293,3,22592;294,3,22975;295,3,22581;296,2,23971;297,1,22593;298,3,23981;299,1,22594;300,4,22603;	绝境战场奇穴	289,3,22559;290,2,22561;291,4,22586;292,3,22973;293,4,22574;294,2,22572;295,3,22581;296,3,22585;297,5,25305;298,2,22591;299,4,22597;300,2,22599;				
27		10615	PVP奇穴推荐	热度最高	301,2,24930;302,3,24932;303,1,25085;304,3,24994;305,3,25025;306,3,25367;307,2,25059;308,4,25069;309,4,25074;310,4,25114;311,1,25088;312,2,24949;	胜率最高	301,2,24930;302,3,24932;303,1,25085;304,3,24994;305,3,25025;306,3,25367;307,1,25022;308,4,25069;309,4,25074;310,4,25114;311,1,25088;312,3,25149;								
