id,name,icon,category,quality,school,primaryAttribute,score,vitality,spirit,strength,agility,spunk,basicPhysicsShield,basicMagicShield,damageBase,damageRange,attackSpeed,physicsShield,magicShield,dodge,parryBase,parryValue,toughness,attack,heal,crit,critEffect,overcome,haste,hit,strain,surplus,huajing,threat,effectId,embed,strengthen,setId,representId,deprecated
32311,湘蘋罗杉,11356,jacket,1650,通用,spirit,2970,594,115,0,0,0,54,68,0,0,0,0,0,0,0,0,0,0,731,0,0,0,0,0,0,0,0,0,NULL,,6,NULL,1976,0
32312,吉士护颈,11356,jacket,1650,通用,vitality,2970,803,0,0,0,0,68,68,0,0,0,562,0,0,0,0,0,0,0,0,0,0,257,0,128,0,0,159,NULL,,6,NULL,1978,0
32313,夙星袖,5876,wrist,2000,通用,spirit,2520,504,98,0,0,0,46,57,0,0,0,0,0,0,0,0,0,190,0,0,0,491,0,0,0,436,0,0,NULL,2D39D27,6,NULL,660,0
32314,寤寐护手,5876,wrist,2000,通用,spunk,2520,504,0,0,0,98,46,57,0,0,0,0,0,0,0,0,0,190,0,0,0,491,0,0,0,436,0,0,NULL,2D39D27,6,NULL,660,0
32315,旌荣臂甲,5876,wrist,2000,通用,strength,2520,504,0,98,0,0,57,46,0,0,0,0,0,0,0,0,0,159,0,0,0,491,0,0,0,436,0,0,NULL,2D39D18,6,NULL,660,0
32316,方慕袖,5876,wrist,2000,通用,agility,2520,504,0,0,98,0,57,46,0,0,0,0,0,0,0,0,0,159,0,0,0,491,0,0,0,436,0,0,NULL,2D39D18,6,NULL,660,0
32317,遥夕袖,5876,wrist,2000,通用,spirit,2520,504,98,0,0,0,46,57,0,0,0,0,0,0,0,0,0,0,382,491,0,0,0,0,0,0,0,0,NULL,2D10D39,6,NULL,661,0
32318,鱼丽护手,5876,wrist,2000,通用,vitality,2520,681,0,0,0,0,57,57,0,0,0,477,0,0,0,0,0,0,0,0,0,0,218,0,109,0,0,384,NULL,2D42D45,6,NULL,661,0
32319,夙星缠,5877,belt,2000,通用,spirit,2520,504,98,0,0,0,33,41,0,0,0,0,0,0,0,0,0,190,0,0,0,491,0,0,0,436,0,0,NULL,2D39D00,6,NULL,660,0
32320,寤寐腰带,5877,belt,2000,通用,spunk,2520,504,0,0,0,98,33,41,0,0,0,0,0,0,0,0,0,190,0,0,0,491,0,0,0,436,0,0,NULL,2D39D01,6,NULL,660,0
32321,旌荣腰带,5877,belt,2000,通用,strength,2520,504,0,98,0,0,41,33,0,0,0,0,0,0,0,0,0,159,0,0,0,491,0,0,0,436,0,0,NULL,2D39D02,6,NULL,660,0
32322,方慕腰带,5877,belt,2000,通用,agility,2520,504,0,0,98,0,41,33,0,0,0,0,0,0,0,0,0,159,0,0,0,491,0,0,0,436,0,0,NULL,2D39D04,6,NULL,660,0
32323,遥夕缠,5877,belt,2000,通用,spirit,2520,504,98,0,0,0,33,41,0,0,0,0,0,0,0,0,0,0,382,491,0,0,0,0,0,0,0,0,NULL,2D31D39,6,NULL,661,0
32324,鱼丽护腰,5877,belt,2000,通用,vitality,2520,681,0,0,0,0,41,41,0,0,0,341,0,0,0,0,136,0,0,0,0,0,0,0,327,0,0,384,NULL,2D03D47,6,NULL,661,0
32325,夙星屐,5880,shoes,2000,通用,spirit,2520,504,98,0,0,0,33,41,0,0,0,0,0,0,0,0,0,190,0,0,0,491,0,0,0,436,0,0,NULL,2D58D05,6,NULL,660,0
32326,寤寐鞋,5880,shoes,2000,通用,spunk,2520,504,0,0,0,98,33,41,0,0,0,0,0,0,0,0,0,190,0,0,0,491,0,0,0,436,0,0,NULL,2D58D05,6,NULL,660,0
32327,旌荣战靴,5880,shoes,2000,通用,strength,2520,504,0,98,0,0,41,33,0,0,0,0,0,0,0,0,0,159,0,0,0,491,0,0,0,436,0,0,NULL,2D58D05,6,NULL,660,0
32328,方慕鞋,5880,shoes,2000,通用,agility,2520,504,0,0,98,0,41,33,0,0,0,0,0,0,0,0,0,159,0,0,0,491,0,0,0,436,0,0,NULL,2D58D05,6,NULL,660,0
32329,遥夕屐,5880,shoes,2000,通用,spirit,2520,504,98,0,0,0,33,41,0,0,0,0,0,0,0,0,0,0,382,491,0,0,0,0,0,0,0,0,NULL,2D39D00,6,NULL,661,0
32330,鱼丽战靴,5880,shoes,2000,通用,vitality,2520,681,0,0,0,0,41,41,0,0,0,68,409,0,0,0,0,0,0,0,0,0,0,0,136,273,0,384,NULL,2D03D47,6,NULL,661,0
32331,夙星裳,5879,bottoms,2000,通用,spirit,3600,720,140,0,0,0,59,74,0,0,0,0,0,0,0,0,0,272,0,0,0,701,0,0,0,623,0,0,NULL,2D03D58,6,NULL,NULL,0
32332,寤寐裤,5879,bottoms,2000,通用,spunk,3600,720,0,0,0,140,59,74,0,0,0,0,0,0,0,0,0,272,0,0,0,701,0,0,0,623,0,0,NULL,2D03D58,6,NULL,NULL,0
32333,旌荣护腿,5879,bottoms,2000,通用,strength,3600,720,0,140,0,0,74,59,0,0,0,0,0,0,0,0,0,227,0,0,0,701,0,0,0,623,0,0,NULL,2D03D58,6,NULL,NULL,0
32334,方慕裤,5879,bottoms,2000,通用,agility,3600,720,0,0,140,0,74,59,0,0,0,0,0,0,0,0,0,227,0,0,0,701,0,0,0,623,0,0,NULL,2D03D58,6,NULL,NULL,0
32335,遥夕裳,5879,bottoms,2000,通用,spirit,3600,720,140,0,0,0,59,74,0,0,0,0,0,0,0,0,0,0,546,701,0,0,0,0,0,0,0,0,NULL,2D41D39,6,NULL,NULL,0
32336,鱼丽劲装,5879,bottoms,2000,通用,vitality,3600,973,0,0,0,0,74,74,0,0,0,0,487,0,0,0,195,0,0,0,0,0,0,0,584,0,0,384,NULL,2D42D47,6,NULL,NULL,0
32337,夙星冠,5875,hat,2000,通用,spirit,3240,648,126,0,0,0,52,65,0,0,0,0,0,0,0,0,0,245,0,631,0,0,0,0,0,561,0,0,NULL,2D39D27,6,NULL,660,0
32338,寤寐帽,5875,hat,2000,通用,spunk,3240,648,0,0,0,126,52,65,0,0,0,0,0,0,0,0,0,245,0,631,0,0,0,0,0,561,0,0,NULL,2D39D27,6,NULL,660,0
32339,旌荣盔,5875,hat,2000,通用,strength,3240,648,0,126,0,0,65,52,0,0,0,0,0,0,0,0,0,204,0,631,0,0,0,0,0,561,0,0,NULL,2D39D18,6,NULL,660,0
32340,方慕巾,5875,hat,2000,通用,agility,3240,648,0,0,126,0,65,52,0,0,0,0,0,0,0,0,0,204,0,631,0,0,0,0,0,561,0,0,NULL,2D39D18,6,NULL,660,0
32341,遥夕簪,5875,hat,2000,通用,spirit,3240,648,126,0,0,0,52,65,0,0,0,0,0,0,0,0,0,0,492,631,0,0,0,0,0,0,0,0,NULL,2D00D39,6,NULL,661,0
32342,鱼丽盔,5875,hat,2000,通用,vitality,3240,876,0,0,0,0,65,65,0,0,0,175,0,263,0,0,175,0,0,0,0,0,0,0,420,105,0,384,NULL,2D03D44,6,NULL,661,0
32343,夙星帔,5878,jacket,2000,通用,spirit,3600,720,140,0,0,0,65,82,0,0,0,0,0,0,0,0,0,272,0,701,0,0,0,0,0,623,0,0,NULL,2D03D10,6,NULL,660,0
32344,寤寐衫,5878,jacket,2000,通用,spunk,3600,720,0,0,0,140,65,82,0,0,0,0,0,0,0,0,0,272,0,701,0,0,0,0,0,623,0,0,NULL,2D03D37,6,NULL,660,0
32345,旌荣胄,5878,jacket,2000,通用,strength,3600,720,0,140,0,0,82,65,0,0,0,0,0,0,0,0,0,227,0,701,0,0,0,0,0,623,0,0,NULL,2D03D06,6,NULL,660,0
32346,方慕袍,5878,jacket,2000,通用,agility,3600,720,0,0,140,0,82,65,0,0,0,0,0,0,0,0,0,227,0,701,0,0,0,0,0,623,0,0,NULL,2D03D06,6,NULL,660,0
32347,遥夕帔,5878,jacket,2000,通用,spirit,3600,720,140,0,0,0,65,82,0,0,0,0,0,0,0,0,0,0,546,701,0,0,0,0,0,0,0,0,NULL,2D31D00,6,NULL,661,0
32348,鱼丽胄,5878,jacket,2000,通用,vitality,3600,973,0,0,0,0,82,82,0,0,0,195,0,487,0,0,0,0,0,0,0,0,0,0,156,428,0,384,NULL,2D47D03,6,NULL,661,0
32349,临流袖,6827,wrist,2100,通用,spirit,2646,529,103,0,0,0,48,60,0,0,0,0,0,0,0,0,0,200,0,0,0,515,0,0,0,458,0,0,NULL,2D39D27,6,NULL,942,0
32350,襄童护手,6827,wrist,2100,通用,spunk,2646,529,0,0,0,103,48,60,0,0,0,0,0,0,0,0,0,200,0,0,0,515,0,0,0,458,0,0,NULL,2D39D27,6,NULL,942,0
32351,长阔臂甲,6827,wrist,2100,通用,strength,2646,529,0,103,0,0,60,48,0,0,0,0,0,0,0,0,0,167,0,0,0,515,0,0,0,458,0,0,NULL,2D39D18,6,NULL,942,0
32352,南徵护手,6827,wrist,2100,通用,agility,2646,529,0,0,103,0,60,48,0,0,0,0,0,0,0,0,0,167,0,0,0,515,0,0,0,458,0,0,NULL,2D39D18,6,NULL,942,0
32353,含英袖,6827,wrist,2100,通用,spirit,2646,529,103,0,0,0,48,60,0,0,0,0,0,0,0,0,0,0,402,515,0,0,0,0,0,0,0,0,NULL,2D10D39,6,NULL,943,0
32354,海戍护手,6827,wrist,2100,通用,vitality,2646,715,0,0,0,0,60,60,0,0,0,501,0,0,0,0,0,0,0,0,0,0,229,0,0,114,0,404,NULL,2D42D45,6,NULL,943,0
32355,临流带,6826,belt,2100,通用,spirit,2646,529,103,0,0,0,34,43,0,0,0,0,0,0,0,0,0,200,0,0,0,515,0,0,0,458,0,0,NULL,2D39D00,6,NULL,942,0
32356,襄童缠,6826,belt,2100,通用,spunk,2646,529,0,0,0,103,34,43,0,0,0,0,0,0,0,0,0,200,0,0,0,515,0,0,0,458,0,0,NULL,2D39D01,6,NULL,942,0
32357,长阔护腰,6826,belt,2100,通用,strength,2646,529,0,103,0,0,43,34,0,0,0,0,0,0,0,0,0,167,0,0,0,515,0,0,0,458,0,0,NULL,2D39D02,6,NULL,942,0
32358,南徵腰带,6826,belt,2100,通用,agility,2646,529,0,0,103,0,43,34,0,0,0,0,0,0,0,0,0,167,0,0,0,515,0,0,0,458,0,0,NULL,2D39D04,6,NULL,942,0
32359,含英绣带,6826,belt,2100,通用,spirit,2646,529,103,0,0,0,34,43,0,0,0,0,0,0,0,0,0,0,402,515,0,0,0,0,0,0,0,0,NULL,2D31D39,6,NULL,943,0
32360,海戍护腰,6826,belt,2100,通用,vitality,2646,715,0,0,0,0,43,43,0,0,0,501,0,0,0,0,0,0,0,0,0,0,229,0,114,0,0,404,NULL,2D05D47,6,NULL,943,0
32361,临流履,6825,shoes,2100,通用,spirit,2646,529,103,0,0,0,34,43,0,0,0,0,0,0,0,0,0,200,0,0,0,515,0,0,0,458,0,0,NULL,2D58D05,6,NULL,942,0
32362,襄童鞋,6825,shoes,2100,通用,spunk,2646,529,0,0,0,103,34,43,0,0,0,0,0,0,0,0,0,200,0,0,0,515,0,0,0,458,0,0,NULL,2D58D05,6,NULL,942,0
32363,长阔战靴,6825,shoes,2100,通用,strength,2646,529,0,103,0,0,43,34,0,0,0,0,0,0,0,0,0,167,0,0,0,515,0,0,0,458,0,0,NULL,2D58D05,6,NULL,942,0
32364,南徵靴,6825,shoes,2100,通用,agility,2646,529,0,0,103,0,43,34,0,0,0,0,0,0,0,0,0,167,0,0,0,515,0,0,0,458,0,0,NULL,2D58D05,6,NULL,942,0
32365,含英屐,6825,shoes,2100,通用,spirit,2646,529,103,0,0,0,34,43,0,0,0,0,0,0,0,0,0,0,651,0,0,0,0,0,0,0,0,0,NULL,2D10D39,6,NULL,943,0
32366,海戍战靴,6825,shoes,2100,通用,vitality,2646,715,0,0,0,0,43,43,0,0,0,143,0,358,0,0,0,0,0,0,0,0,0,0,114,315,0,404,NULL,2D45D47,6,NULL,943,0
32367,临流裳,6824,bottoms,2100,通用,spirit,3780,756,147,0,0,0,62,77,0,0,0,0,0,0,0,0,0,285,0,0,0,736,0,0,0,654,0,0,NULL,2D03D58,6,NULL,NULL,0
32368,襄童裤,6824,bottoms,2100,通用,spunk,3780,756,0,0,0,147,62,77,0,0,0,0,0,0,0,0,0,285,0,0,0,736,0,0,0,654,0,0,NULL,2D03D58,6,NULL,NULL,0
32369,长阔劲装,6824,bottoms,2100,通用,strength,3780,756,0,147,0,0,77,62,0,0,0,0,0,0,0,0,0,238,0,0,0,736,0,0,0,654,0,0,NULL,2D03D58,6,NULL,NULL,0
32370,南徵裤,6824,bottoms,2100,通用,agility,3780,756,0,0,147,0,77,62,0,0,0,0,0,0,0,0,0,238,0,0,0,736,0,0,0,654,0,0,NULL,2D03D58,6,NULL,NULL,0
32371,含英裳,6824,bottoms,2100,通用,spirit,3780,756,147,0,0,0,62,77,0,0,0,0,0,0,0,0,0,0,574,736,0,0,0,0,0,0,0,0,NULL,2D41D39,6,NULL,NULL,0
32372,海戍护腿,6824,bottoms,2100,通用,vitality,3780,1022,0,0,0,0,77,77,0,0,0,715,0,0,0,0,0,0,0,0,0,0,327,0,0,164,0,404,NULL,2D03D42,6,NULL,NULL,0
32373,临流帽,6822,hat,2100,通用,spirit,3402,681,132,0,0,0,55,69,0,0,0,0,0,0,0,0,0,257,0,0,0,662,0,0,0,589,0,0,NULL,2D00D39,6,NULL,942,0
32374,襄童巾,6822,hat,2100,通用,spunk,3402,681,0,0,0,132,55,69,0,0,0,0,0,0,0,0,0,257,0,0,0,662,0,0,0,589,0,0,NULL,2D01D39,6,NULL,942,0
32375,长阔战盔,6822,hat,2100,通用,strength,3402,681,0,132,0,0,69,55,0,0,0,0,0,0,0,0,0,214,0,0,0,662,0,0,0,589,0,0,NULL,2D02D39,6,NULL,942,0
32376,南徵冠,6822,hat,2100,通用,agility,3402,681,0,0,132,0,69,55,0,0,0,0,0,0,0,0,0,214,0,0,0,662,0,0,0,589,0,0,NULL,2D04D39,6,NULL,942,0
32377,含英簪,6822,hat,2100,通用,spirit,3402,681,132,0,0,0,55,69,0,0,0,0,0,0,0,0,0,0,516,662,0,0,0,0,0,0,0,0,NULL,2D00D39,6,NULL,943,0
32378,海戍盔,6822,hat,2100,通用,vitality,3402,920,0,0,0,0,69,69,0,0,0,644,0,0,0,0,0,0,0,0,0,0,294,0,147,0,0,404,NULL,2D47D42,6,NULL,943,0
32379,临流衫,6823,jacket,2100,通用,spirit,3780,756,147,0,0,0,69,86,0,0,0,0,0,0,0,0,0,285,0,0,0,736,0,0,0,654,0,0,NULL,2D00D39,6,NULL,942,0
32380,襄童袍,6823,jacket,2100,通用,spunk,3780,756,0,0,0,147,69,86,0,0,0,0,0,0,0,0,0,285,0,0,0,736,0,0,0,654,0,0,NULL,2D01D39,6,NULL,942,0
32381,长阔古胄,6823,jacket,2100,通用,strength,3780,756,0,147,0,0,86,69,0,0,0,0,0,0,0,0,0,238,0,0,0,736,0,0,0,654,0,0,NULL,2D02D39,6,NULL,942,0
32382,南徵衣,6823,jacket,2100,通用,agility,3780,756,0,0,147,0,86,69,0,0,0,0,0,0,0,0,0,238,0,0,0,736,0,0,0,654,0,0,NULL,2D04D39,6,NULL,942,0
32383,含英帔,6823,jacket,2100,通用,spirit,3780,756,147,0,0,0,69,86,0,0,0,0,0,0,0,0,0,0,574,736,0,0,0,0,0,0,0,0,NULL,2D31D00,6,NULL,943,0
32384,海戍战甲,6823,jacket,2100,通用,vitality,3780,1022,0,0,0,0,86,86,0,0,0,715,0,0,0,0,0,0,0,0,0,0,327,0,164,0,0,404,NULL,2D47D03,6,NULL,943,0
32385,凛永护手,1978,wrist,2110,通用,spirit,2658,532,103,0,0,0,48,60,0,0,0,0,0,0,0,0,0,201,0,517,0,0,0,0,0,460,0,0,NULL,2D00D05,6,NULL,521,0
32386,凛源护手,1978,wrist,2110,通用,spunk,2658,532,0,0,0,103,48,60,0,0,0,0,0,0,0,0,0,201,0,517,0,0,0,0,0,460,0,0,NULL,2D01D05,6,NULL,521,0
32387,凛石护手,1978,wrist,2110,通用,strength,2658,532,0,103,0,0,60,48,0,0,0,0,0,0,0,0,0,167,0,517,0,0,0,0,0,460,0,0,NULL,2D02D05,6,NULL,518,0
32388,凛骁护手,1978,wrist,2110,通用,agility,2658,532,0,0,103,0,60,48,0,0,0,0,0,0,0,0,0,167,0,517,0,0,0,0,0,460,0,0,NULL,2D04D05,6,NULL,518,0
32389,凛康护手,1978,wrist,2110,通用,spirit,2658,532,103,0,0,0,48,60,0,0,0,0,0,0,0,0,0,0,404,0,0,0,517,0,0,0,0,0,NULL,2D05D41,6,NULL,521,0
32390,凛安护手,1978,wrist,2110,通用,vitality,2658,719,0,0,0,0,60,60,0,0,0,144,0,0,359,2078,0,0,0,0,0,0,230,0,86,115,0,405,NULL,2D45D42,6,NULL,520,0
32391,凛迁腰带,1962,belt,2110,通用,spirit,2658,532,103,0,0,0,35,43,0,0,0,0,0,0,0,0,0,201,0,0,0,517,0,0,460,0,0,0,NULL,2D11D05,6,NULL,521,0
32392,凛浩腰带,1962,belt,2110,通用,spunk,2658,532,0,0,0,103,35,43,0,0,0,0,0,0,0,0,0,201,0,0,0,517,0,0,460,0,0,0,NULL,2D11D05,6,NULL,521,0
32393,凛刚腰带,1962,belt,2110,通用,strength,2658,532,0,103,0,0,43,35,0,0,0,0,0,0,0,0,0,167,0,0,0,517,0,0,460,0,0,0,NULL,2D11D05,6,NULL,518,0
32394,凛健腰带,1962,belt,2110,通用,agility,2658,532,0,0,103,0,43,35,0,0,0,0,0,0,0,0,0,167,0,0,0,517,0,0,460,0,0,0,NULL,2D11D05,6,NULL,518,0
32395,凛治腰带,1962,belt,2110,通用,spirit,2658,532,103,0,0,0,35,43,0,0,0,0,0,0,0,0,0,0,404,0,0,0,517,0,0,0,0,0,NULL,2D00D10,6,NULL,521,0
32396,凛谦腰带,1962,belt,2110,通用,vitality,2658,719,0,0,0,0,43,43,0,0,0,144,0,359,0,0,0,0,0,0,0,0,0,0,115,316,0,405,NULL,2D03D47,6,NULL,520,0
32397,凛沁鞋,1186,shoes,2110,通用,spirit,2658,532,103,0,0,0,35,43,0,0,0,0,0,0,0,0,0,201,0,517,0,0,0,0,0,460,0,0,NULL,2D58D05,6,NULL,521,0
32398,凛清鞋,1186,shoes,2110,通用,spunk,2658,532,0,0,0,103,35,43,0,0,0,0,0,0,0,0,0,201,0,517,0,0,0,0,0,460,0,0,NULL,2D58D05,6,NULL,521,0
32399,凛勇鞋,1186,shoes,2110,通用,strength,2658,532,0,103,0,0,43,35,0,0,0,0,0,0,0,0,0,167,0,517,0,0,0,0,0,460,0,0,NULL,2D58D05,6,NULL,518,0
32400,凛闪鞋,1186,shoes,2110,通用,agility,2658,532,0,0,103,0,43,35,0,0,0,0,0,0,0,0,0,167,0,517,0,0,0,0,0,460,0,0,NULL,2D58D05,6,NULL,518,0
32401,凛苏鞋,1186,shoes,2110,通用,spirit,2658,532,103,0,0,0,35,43,0,0,0,0,0,0,0,0,0,0,404,517,0,0,0,0,0,0,0,0,NULL,2D39D00,6,NULL,521,0
32402,凛羽鞋,1186,shoes,2110,通用,vitality,2658,719,0,0,0,0,43,43,0,0,0,72,431,0,0,0,0,0,0,0,0,0,0,0,144,287,0,405,NULL,2D03D47,6,NULL,520,0
32403,凛宜帽,2827,hat,2110,通用,spirit,3418,684,133,0,0,0,55,69,0,0,0,0,0,0,0,0,0,258,0,0,0,665,0,0,591,0,0,0,NULL,2D00D39,6,NULL,521,0
32404,凛兴帽,2827,hat,2110,通用,spunk,3418,684,0,0,0,133,55,69,0,0,0,0,0,0,0,0,0,258,0,0,0,665,0,0,591,0,0,0,NULL,2D01D39,6,NULL,521,0
32405,凛当帽,2827,hat,2110,通用,strength,3418,684,0,133,0,0,69,55,0,0,0,0,0,0,0,0,0,215,0,0,0,665,0,0,591,0,0,0,NULL,2D02D39,6,NULL,518,0
32406,凛冲帽,2827,hat,2110,通用,agility,3418,684,0,0,133,0,69,55,0,0,0,0,0,0,0,0,0,215,0,0,0,665,0,0,591,0,0,0,NULL,2D04D39,6,NULL,518,0
32407,凛泽帽,2827,hat,2110,通用,spirit,3418,684,133,0,0,0,55,69,0,0,0,0,0,0,0,0,0,0,519,0,0,0,665,0,0,0,0,0,NULL,2D00D05,6,NULL,521,0
32408,凛惠帽,2827,hat,2110,通用,vitality,3418,924,0,0,0,0,69,69,0,0,0,647,0,0,0,0,0,0,0,0,0,0,0,0,148,296,0,405,NULL,2D03D44,6,NULL,520,0
32409,惊鸾袖,5882,wrist,2200,通用,spirit,2772,555,108,0,0,0,50,63,0,0,0,0,0,0,0,0,0,209,0,0,0,540,0,0,0,480,0,0,NULL,2D39D27,6,NULL,666,0
