P_ID,name,desc,type,xinfatype,body,spirit,strength,agility,spunk,physicsShield,magicShield,dodge,parryBase,parryValue,toughness,attack,heal,crit,critEffect,overcome,acce,hit,strain,huajing,threat,neihui,neili,xuehui,qixue
91,雅·安戎·印（元气）,元气提升10,7,0,0,0,0,0,010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,雅·安戎·印（外伤）,外功攻击提升21,7,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,
95,雅·安戎·印（外会效）,外功会心效果提升27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,027,0,0,0,0,0,0,0,0,0,0
96,雅·安戎·印（内伤）,内功攻击提升25,7,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,
100,雅·安戎·印（内会效）,内功会心效果提升27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,027,0,0,0,0,0,0,0,0,0,0
102,雅·安戎·印（疗伤）,疗伤成效提升22,7,0,0,0,0,0,0,0,0,0,0,0,0,0,022,0,0,0,0,0,0,0,0,0,0,0,0
103,固·安戎·铸（加速）,加速提升27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,027,0,0,0,0,0,0,0,0
104,固·安戎·铸（身法）,身法提升15,5,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
106,固·安戎·铸（外命）,外功命中提升27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,
107,固·安戎·铸（外破）,外功破防提升27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,
108,固·安戎·铸（外会）,外功会心提升27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,
110,固·安戎·铸（内命）,内功命中提升27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,
111,固·安戎·铸（内破）,内功破防提升27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,
112,固·安戎·铸（内会）,内功会心提升27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,
113,固·安戎·铸（无双）,无双提升27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,027,0,0,0,0,0,0
116,固·安戎·铸（仇恨）,仇恨百分比提升5%,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,051,0,0,0,0
117,固·安戎·磨石（外伤）,外功攻击提升21,11,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,
119,固·安戎·磨石（内伤）,内功攻击提升25,11,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,
122,固·安戎·磨石（疗伤）,疗伤成效提升22,11,0,0,0,0,0,0,0,0,0,0,0,0,0,022,0,0,0,0,0,0,0,0,0,0,0,0
131,苍·安戎·锻（疗伤）,疗伤成效提升19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,019,0,0,0,0,0,0,0,0,0,0,0,0
132,苍·安戎·绣（疗伤）,疗伤成效提升19,8,0,0,0,0,0,0,0,0,0,0,0,0,0,019,0,0,0,0,0,0,0,0,0,0,0,0
133,苍·安戎·染（疗伤）,疗伤成效提升19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,019,0,0,0,0,0,0,0,0,0,0,0,0
134,苍·安戎·铸（疗伤）,疗伤成效提升19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,019,0,0,0,0,0,0,0,0,0,0,0,0
135,苍·安戎·印（疗伤）,疗伤成效提升19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,019,0,0,0,0,0,0,0,0,0,0,0,0
136,苍·安戎·磨石（仇恨）,仇恨百分比提升5%,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,052,0,0,0,0
137,苍·安戎·纹（内破）,内功破防提升24,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,
138,苍·安戎·纹（外破）,内功破防提升24,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,
139,苍·安戎·磨石（疗伤）,疗伤成效提升19,11,0,0,0,0,0,0,0,0,0,0,0,0,0,019,0,0,0,0,0,0,0,0,0,0,0,0
140,苍·安戎·纹（疗伤）,疗伤成效提升19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,019,0,0,0,0,0,0,0,0,0,0,0,0
142,苍·安戎·磨石（内伤）,内功攻击提升22,11,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,
143,苍·安戎·绣（外伤）,外功攻击提升18,8,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,
144,苍·安戎·磨石（外伤）,外功攻击提升18,11,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,
145,苍·安戎·铸（内伤）,内功攻击提升22,5,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,
146,苍·安戎·染（内伤）,内功攻击提升22,6,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,
147,苍·安戎·纹（内伤）,内功攻击提升22,10,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,
148,苍·安戎·锻（外伤）,外功攻击提升18,9,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,
149,苍·安戎·染（外伤）,外功攻击提升18,6,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,
150,苍·安戎·纹（外伤）,外功攻击提升18,10,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,
151,苍·安戎·锻（内伤）,内功攻击提升22,9,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,
157,固·安戎·铸（根骨）,根骨提升15,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
158,新春·桃符,可强化戒指，使自身外功攻击增加5点,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,
159,剑胆·绣（体质）,体质提升25点,8,0,025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,剑胆·绣（气血）,气血上限提升247点,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0247
161,剑胆·绣（内力）,内力上限提升247点,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0247,0,0
162,剑胆·绣（气回）,回复气血永久提升12点每秒,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,
163,剑胆·绣（内回）,内力回复速度提升22点,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,
164,剑胆·绣（拆值）,拆招值提升307点,8,0,0,0,0,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
165,剑胆·绣（闪避）,闪避值提升25点,8,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
166,剑胆·绣（外防）,外功防御等级提升25点,8,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
167,剑胆·绣（内防）,内功防御等级提升25点,8,0,0,0,0,0,0,0,025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,剑胆·绣（招架）,招架值提升25点,8,0,0,0,0,0,0,0,0,0,025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,剑胆·绣（御劲）,御劲提升25点,8,0,0,0,0,0,0,0,0,0,0,0,025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,剑胆·绣（化劲）,化劲提升25点,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,
171,剑胆·印（力道）,力道提升18点,7,0,0,0,018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,剑胆·印（元气）,元气提升18点,7,0,0,0,0,0,018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,剑胆·印（外伤）,外功攻击提升37点,7,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,
174,剑胆·印（内伤）,内功攻击提升44点,7,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,
175,剑胆·印（疗伤）,疗伤成效提升39点,7,0,0,0,0,0,0,0,0,0,0,0,0,0,039,0,0,0,0,0,0,0,0,0,0,0,0
176,剑胆·印（内会效）,内功会心效果等级提升49点,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,049,0,0,0,0,0,0,0,0,0,0
177,剑胆·印（外会效）,外功会心效果等级提升49点,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,049,0,0,0,0,0,0,0,0,0,0
178,剑胆·染（力道）,力道提升18点,6,0,0,0,018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,剑胆·染（元气）,元气提升18点,6,0,0,0,0,0,018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,剑胆·染（外伤）,外功攻击提升37点,6,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,
181,剑胆·染（内伤）,内功攻击提升44点,6,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,
182,剑胆·染（疗伤）,疗伤成效提升39点,6,0,0,0,0,0,0,0,0,0,0,0,0,0,039,0,0,0,0,0,0,0,0,0,0,0,0
183,剑胆·染（内会效）,内功会心效果等级提升49点,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,049,0,0,0,0,0,0,0,0,0,0
184,剑胆·染（外会效）,外功会心效果等级提升49点,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,049,0,0,0,0,0,0,0,0,0,0
185,剑胆·纹（体质）,体质提升25点,10,0,025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,剑胆·纹（气血）,气血上限提升247点,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0247
187,剑胆·纹（内力）,内力上限提升247点,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0247,0,0
188,剑胆·纹（气回）,回复气血永久提升12点每秒,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,
189,剑胆·纹（内回）,内力回复速度提升22点,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,
190,剑胆·纹（拆值）,拆招值提升307点,10,0,0,0,0,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
191,剑胆·纹（闪避）,闪避值提升25点,10,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
192,剑胆·纹（外防）,外功防御等级提升25点,10,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
193,剑胆·纹（内防）,内功防御等级提升25点,10,0,0,0,0,0,0,0,025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,剑胆·纹（招架）,招架值提升25点,10,0,0,0,0,0,0,0,0,0,025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,剑胆·纹（御劲）,御劲提升25点,10,0,0,0,0,0,0,0,0,0,0,0,025,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,剑胆·纹（化劲）,化劲提升25点,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,
197,佳·剑胆·绣（体质）,体质提升28点,8,0,028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198,佳·剑胆·绣（气血）,气血上限提升278点,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0278
199,佳·剑胆·绣（内力）,内力上限提升278点,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0278,0,0
200,佳·剑胆·绣（气回）,气血回复速度提升18点,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
201,佳·剑胆·绣（内回）,内力回复速度提升26点,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,
202,佳·剑胆·绣（拆值）,拆招值提升345点,8,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
203,佳·剑胆·绣（闪避）,闪避值提升28点,8,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
204,佳·剑胆·绣（外防）,外功防御等级提升28点,8,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
205,佳·剑胆·绣（内防）,内功防御等级提升28点,8,0,0,0,0,0,0,0,028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206,佳·剑胆·绣（招架）,招架值提升28点,8,0,0,0,0,0,0,0,0,0,028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,佳·剑胆·绣（御劲）,御劲提升28点,8,0,0,0,0,0,0,0,0,0,0,0,028,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,佳·剑胆·绣（化劲）,化劲提升28点,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,
209,佳·剑胆·印（力道）,力道提升21点,7,0,0,0,021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,佳·剑胆·印（元气）,元气提升21点,7,0,0,0,0,0,021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,佳·剑胆·印（外伤）,外功攻击提升42点,7,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,
212,佳·剑胆·印（内伤）,内功攻击提升50点,7,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,
213,佳·剑胆·印（疗伤）,疗伤成效提升43点,7,0,0,0,0,0,0,0,0,0,0,0,0,0,043,0,0,0,0,0,0,0,0,0,0,0,0
214,佳·剑胆·印（内会效）,内功会心效果等级提升56点,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,056,0,0,0,0,0,0,0,0,0,0
215,佳·剑胆·印（外会效）,外功会心效果等级提升56点,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,056,0,0,0,0,0,0,0,0,0,0
216,佳·剑胆·染（力道）,力道提升21点,6,0,0,0,021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,佳·剑胆·染（元气）,元气提升21点,6,0,0,0,0,0,021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,佳·剑胆·染（外伤）,外功攻击提升42点,6,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,
219,佳·剑胆·染（内伤）,内功攻击提升50点,6,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,
220,佳·剑胆·染（疗伤）,疗伤成效提升43点,6,0,0,0,0,0,0,0,0,0,0,0,0,0,043,0,0,0,0,0,0,0,0,0,0,0,0
221,佳·剑胆·染（内会效）,内功会心效果等级提升56点,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,056,0,0,0,0,0,0,0,0,0,0
222,佳·剑胆·染（外会效）,外功会心效果等级提升56点,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,056,0,0,0,0,0,0,0,0,0,0
223,佳·剑胆·纹（体质）,体质提升28点,10,0,028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
224,佳·剑胆·纹（气血）,气血上限提升278点,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0278
225,佳·剑胆·纹（内力）,内力上限提升278点,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0278,0,0
226,佳·剑胆·纹（气回）,气血回复速度提升18点,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,
227,佳·剑胆·纹（内回）,内力回复速度提升26点,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,
228,佳·剑胆·纹（拆值）,拆招值提升345点,10,0,0,0,0,0,0,0,0,0,0,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
229,佳·剑胆·纹（闪避）,闪避值提升28点,10,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
230,佳·剑胆·纹（外防）,外功防御等级提升28点,10,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
231,佳·剑胆·纹（内防）,内功防御等级提升28点,10,0,0,0,0,0,0,0,028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,佳·剑胆·纹（招架）,招架值提升28点,10,0,0,0,0,0,0,0,0,0,028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,佳·剑胆·纹（御劲）,御劲提升28点,10,0,0,0,0,0,0,0,0,0,0,0,028,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,佳·剑胆·纹（化劲）,化劲提升28点,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,
235,剑胆·锻（根骨）,根骨提升18点,9,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
236,剑胆·锻（身法）,身法提升18点,9,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
