kungfu,index,name,description,icon,version,effectId
铁牢律,3,龙啸,“龙牙”命中目标后，对目标周围6尺的5个目标造成外功伤害。该伤害不受到“龙牙”秘籍的影响。,2989,1.0.0.3931,
铁牢律,3,大漠,“穿云”有35%几率使自身额外获得1点战意。,4522,1.0.0.3931,
铁牢律,3,徐如林,施展“突”“断魂刺”之后，自身将获得“徐如林”效果，使自身外功伤害招式命中敌人后，有50%的几率使自身气血与内力在1秒后恢复5%，持续5秒。,653,1.0.0.3931,
铁牢律,4,击水,“流血”效果可叠3层，持续时间增加4秒。,4504,1.0.0.3931,
铁牢律,4,仗剑,“灭”不再对自身造成伤害，并回复自身15%气血值。,4558,1.0.0.3931,
铁牢律,4,望西京,基础气血和内力上限提高10%。,3426,1.0.0.3931,
铁牢律,4,崩,对吟唱状态的目标造成外功伤害，并使其晕眩5秒。,1481,1.0.0.3931,
铁牢律,5,出云,“战八方”可以在马下施展。,643,1.0.0.3931,
铁牢律,5,劲风,“龙吟”附带“破甲”效果提高100%,650,1.0.0.3931,
铁牢律,5,留侯,“龙吟”威胁值提高10%，调息时间降低1秒。,2984,1.0.0.3931,
铁牢律,5,千驰,“沧月”若在马上释放则每0.5秒造成一次击退效果，且对刀气障碍具有额外的伤害，持续3秒。释放期间具有“纵轻骑”效果。,1458,1.0.0.3931,
铁牢律,6,狮心,施展“沧月”将消耗自身战意，每消耗一点战意降低自身“疾”2秒调息时间。,3422,1.0.0.3931,
铁牢律,6,旗渊,被会心攻击后使自身御劲率提高8%，持续8秒。,2031,1.0.0.3931,
铁牢律,6,将威,“啸如虎”期间被疗伤成效额外提高20%，持续期间每2秒进行一次“虎震”使周围6尺内5个目标眩晕1.5秒。,649,1.0.0.3931,
铁牢律,6,掠如火,施展“疾如风”后自身威胁值提高75%，团队成员获得无威胁气劲，持续8秒。,654,1.0.0.3931,
铁牢律,7,雷心,受到攻击若气血值低于40%，每秒回复6%气血最大值，自身气血值高于40%后该效果消失。,4531,1.0.0.3931,
铁牢律,7,踏北邙,受到攻击后若气血值低于40%，则自身被疗伤成效提高20%，受到所有伤害降低20%，当气血值高于40%时该效果消失。,3430,1.0.0.3931,
铁牢律,7,金甲,施展“突”后，自身受到的伤害降低30%，持续8秒。,2992,1.0.0.3931,
铁牢律,7,岳峙,施展“守如山”后，每3秒强制周围8尺内5个敌人攻击自身，作用3次。,4549,1.0.0.3931,
铁牢律,8,流电,“疾”可以在马上使用，并击倒冲刺路径上的5个目标，持续2秒。,6281,1.0.0.3931,
铁牢律,8,守孤城,施展“御”后每秒回复2%的气血与内力，持续5秒。,4549,1.0.0.3931,
铁牢律,8,傲骨,施展“突”冲刺到目标身旁时，强迫周围6尺范围的5个敌对目标攻击自身。,2994,1.0.0.3931,
铁牢律,8,战心,“灭”附带流血和破风效果，使自身立刻获得3点战意，并进入“徐如林”状态，持续3秒。,4531,1.0.0.3931,
铁牢律,8,疾雨,“乘龙箭”每0.8秒朝目标区域发射箭雨，持续2.4秒。每波箭雨延迟0.8秒后对目标6尺范围最多5个目标造成外功伤害。,14131,1.0.0.3931,
铁牢律,9,日影,“疾”命中目标降低自身“沧月”5秒调息时间，恢复自身5点战意。,1480,1.0.0.3931,
铁牢律,9,长征,“突”变为2层充能，充能时间为20秒。,638,1.0.0.3931,
铁牢律,9,北伐,“战八方”伤害提高15%，附带额外威胁值。,4222,1.0.0.3931,
铁牢律,9,渊,解除自身所有移动限制，冲刺到友方目标身边，为其承受4次伤害，并使自身外功基础攻击力提高50%(点)。,2985,1.0.0.3931,
铁牢律,9,辅国,施展“啸如虎”不再有气血值限制，期间自身受到伤害将会在“啸如虎”气劲结束之后使得自身获得可以化解等量伤害的吸收盾，最大为自身3倍的最大气血值，持续10秒。,14126,1.0.0.3931,
铁牢律,10,反岳,“御”成功抵挡一次伤害则会降低2秒“守如山”调息时间。,2988,1.0.0.3931,
铁牢律,10,烈雷,“撼如雷”施展后强制半径10尺内最多5个目标攻击自身，持续3秒。,635,1.0.0.3931,
铁牢律,10,薄伐,“破坚阵”可冲刺至15尺内目标身边对其释放，并将目标周围6尺范围4个目标击倒。,7447,1.0.0.3931,
铁牢律,10,昂如岳,“御”可以在公共调息时间中施展，施展后恢复自身10%气血值并使自身基础气血值上限提高20%，持续10秒。,2981,1.0.0.3931,
铁牢律,10,坚城,“守如山”调息时间降低70秒，减伤效果变为50%，马上施展则额外增加5秒持续时间。,2990,1.0.0.3931,
铁牢律,11,戟胜,“御”持续时间结束后每层效果使自身回复6%气血最大值。,645,1.0.0.3931,
铁牢律,11,于役,“啸如虎”可在受控状态下施展，效果期间受到会心攻击恢复自身5%气血值，最多作用5次。,7431,1.0.0.3931,
铁牢律,11,至武,受到伤害导致自身气血值低于35%，立刻重置“守如山”调息时间，该效果每90秒最多出现一次。,652,1.0.0.3931,
铁牢律,11,载戎,“御”每成功抵御一次伤害，调息时间降低2秒。,657,1.0.0.3931,
铁牢律,11,崩决,施展“龙牙”，使得自身“破招”提高10%，此效果持续15秒，最多叠加5层。,637,1.0.0.3931,
铁牢律,12,在握,“疾如风”效果期间自身受到技能伤害被会心几率降低20%。,656,1.0.0.3931,
铁牢律,12,温邑,自身气血值每降低10%，“守如山”减伤效果持续时间增加1秒。,7479,1.0.0.3931,
铁牢律,12,戈矛,“沧月”击退作用目标最高数量提高至7个，每成功击退1个目标，降低自身2秒“守如山”调息时间。,11902,1.0.0.3931,
铁牢律,12,号令三军,一鼓，团队成员内外功基础攻击提高40%，持续30秒；二鼓，团队成员内外功基础攻击提高20%，持续30秒；三鼓，团队成员受到的所有伤害提高10%，持续至战斗结束，该招式每场战斗只能施展一次。,7513,1.0.0.3931,
铁牢律,12,力破万钧,只能在马下施展，蓄力刺出长枪，蓄力期间自身免疫控制，移动速度降低50%，最多蓄力1.5秒，对面前12尺最多4个目标击退并最多造成外功伤害。若将目标击退至障碍上，使得目标击倒，最多3秒。蓄力时间越长，伤害越高，击倒时间越长。对气血值低于50%的目标伤害提高30%。,14130,1.0.0.3931,
太虚剑意,1,挫锐,“三环套月”伤害提高10%。,4561,1.0.0.3931,
太虚剑意,1,心固,“三环套月”会心提高10%，会心效果提高10%。,2936,1.0.0.3931,
太虚剑意,1,不善,“三环套月”附带60%减速效果，持续5秒。,2937,1.0.0.3931,
太虚剑意,2,同根,“万剑归宗”目标数量提高2个，“无我无剑”“万剑归宗”的伤害提高10%。,2941,1.0.0.3931,
太虚剑意,2,深埋,外功招式会心后，自身立即回复1格气。,2926,1.0.0.3931,
太虚剑意,2,吐故纳新,处于自身“生太极”气场当中，自身受到的伤害降低10%，受到攻击有15%几率令攻击者锁足3秒，并回复自身10%的内力，该效果每20秒只能触发一次。,611,1.0.0.3931,
太虚剑意,3,昆吾,施展招式消耗5格气时，有25%几率立即回复3格气。,2935,1.0.0.3931,
太虚剑意,3,白虹,“无我无剑”命中目标后，会对目标周围6尺内最多5个目标造成外功伤害，消耗的气越多，伤害越高。该效果不受到“无我无剑”秘籍的影响。,617,1.0.0.3931,
太虚剑意,3,数穷,“万剑归宗”命中目标后立即使目标锁足2秒，命中单一目标则伤害额外提高50%。,610,1.0.0.3931,
太虚剑意,3,化三清,产生一个10尺的气场，自身每3秒回复20%内力和1.5格气，小队成员每3秒回复5%内力，持续期间不受打退、打断影响，持续9秒。,1444,1.0.0.3931,
太虚剑意,4,云中剑,“人剑合一”引爆自身“生太极”“碎星辰”“吞日月”气场后会使“气剑”分别环绕自身6/5/4尺运转8秒，“气剑”运转期间会对4个敌对目标造成外功伤害。,11858,1.0.0.3931,
太虚剑意,4,无意,消耗4格气以上施展无我无剑，会心几率提高10%，会心效果提高30%。,4525,1.0.0.3931,
太虚剑意,4,惊世,“转乾坤”调息时间降低15秒，施展“转乾坤”重置“万剑归宗”“人剑合一”“大道无术”“八荒归元”“剑冲阴阳”的调息时间。,2930,1.0.0.3931,
太虚剑意,4,剑飞惊天,使目标下马并且移动速度降低60%，持续5秒，续气一格。若你攻击的目标正在运功，对目标造成外功伤害，并令你额外续气两格并使该目标5秒内无法运功。,623,1.0.0.3931,
太虚剑意,5,独笑,“转乾坤”伤害降低效果提高10%，不受招式控制的效果提高2秒，并在期间免疫推拉效果。,1452,1.0.0.3931,
太虚剑意,5,风逝,“三环套月”“八荒归元”施展距离增加2尺，成功命中目标使下一个“无我无剑”伤害提高30%。,11857,1.0.0.3931,
太虚剑意,5,狂歌,“人剑合一”每引爆一个气场，自身回复2格气，并为自身和小队成员回复5%内力和1%气血。,2942,1.0.0.3931,
太虚剑意,5,合真,自身处于“吞日月”作用范围内受到的伤害会被化解，化解的总伤害超过自身气血最大值的10%时，则“吞日月”消失，该招式无法在秘境中生效。,7120,1.0.0.3931,
太虚剑意,6,解牛,对被定身、锁足、眩晕的目标伤害提高20%。,2929,1.0.0.3931,
太虚剑意,6,解纷,“剑冲阴阳”调息时间降低5秒，眩晕效果增加1秒。,2925,1.0.0.3931,
太虚剑意,6,叠刃,“无我无剑”会心后附带1层叠刃效果，最多叠加5层。,617,1.0.0.3931,
太虚剑意,6,开兑,“吞日月”可解除友方目标阳性，阴性，混元性和毒性不利效果各一个。,1445,1.0.0.3931,
太虚剑意,7,切玉,“八荒归元”命中40%气血以下目标，能够使“叠刃”的持续伤害立即生效。,2924,1.0.0.3931,
太虚剑意,7,雾外江山,除“镇山河”外所有气场招式的调息时间降低1秒，施展气场后额外回复1格气，成功运功施展气场，则使下一个气场无需运功。,2931,1.0.0.3931,
太虚剑意,7,长生,每次成功施展气场或剑阵，则使下一个伤害招式附带“持盈”效果，对目标造成外功伤害，效果持续15秒，可叠加3层。,11854,1.0.0.3931,
太虚剑意,7,凌太虚,处于自身“生太极”效果中的团队成员受到的外功伤害降低3%，自身受到的外功伤害降低10%且每秒回复0.4%气血最大值。,1443,1.0.0.3931,
太虚剑意,8,负阴,“碎星辰”气场持续时间增加12秒，对自身的增益效果提高100%。,7422,1.0.0.3931,
太虚剑意,8,无我,“坐忘无我”每点根骨或身法化解的伤害提高20%，效果期间自身受到的伤害降低50%，受到“锁足”“定身”“眩晕”“击倒”控制效果持续时间缩短30%。,620,1.0.0.3931,
太虚剑意,8,若水,“紫气东来”持续时间降低至8秒，时间可累加，为3层充能技能，60秒充能时间。,7470,1.0.0.3931,
太虚剑意,8,云凌,“大道无术”成功定身目标则重置“生太极”“吞日月”“碎星辰”调息时间。,2943,1.0.0.3931,
太虚剑意,8,裂云,自身造成的“叠刃”效果最高层数提高至7层，处于自身7层“叠刃”的目标15尺内将提高自身15%的移动速度和会心效果。,14081,1.0.0.3931,
太虚剑意,9,和光,“八荒归元”命中有自身“叠刃”效果目标，额外造成25%伤害效果。,2927,1.0.0.3931,
太虚剑意,9,实腹,“大道无术”“人剑合一”控制时间延长1秒。,4534,1.0.0.3931,
太虚剑意,9,故长,“碎星辰”只对自己生效，处于“碎星辰”期间自身无视目标50%外功防御。,12722,1.0.0.3931,
太虚剑意,9,随物,“剑冲阴阳”可直接对敌方目标施展，剑灵持续攻击目标对其造成外功伤害，若短时间内连续命中同一个目标，则降低为外功伤害，持续6秒。,2925,1.0.0.3931,
太虚剑意,9,无为,“大道无术”“剑冲阴阳”成功控制目标获得5格气。,629,1.0.0.3931,
太虚剑意,10,期声,位于增益气场中自身混元内功和外功基础攻击提高10%。,2934,1.0.0.3931,
太虚剑意,10,物我两忘,“人剑合一”引爆及定身效果范围提高3尺，每成功定身一个目标“人剑合一”调息时间降低1秒。,4552,1.0.0.3931,
太虚剑意,10,剑势,“剑冲阴阳”成功眩晕目标后，在目标区域生成“生太极”气场。,1447,1.0.0.3931,
太虚剑意,10,不争,“坐忘无我”调息时间降低3秒，可以对队友使用，对队友使用时，使其化解()点伤害且受到的伤害降低50%，持续5秒。,11856,1.0.0.3931,
太虚剑意,10,利刃,“剑冲阴阳”使得下一个“八荒归元”施展距离提高3尺，会心几率提高10%，会心效果提高20%。,2927,1.0.0.3931,
太虚剑意,11,无欲,“无我无剑”命中有自身“叠刃”效果的目标则减少“八荒归元”调息时间，每消耗1格气则减少1秒。,4221,1.0.0.3931,
太虚剑意,11,凶年,“生太极”作用范围提高5尺，减速效果提高到45%。,7437,1.0.0.3931,
太虚剑意,11,静笃,“坐忘无我”效果消失后，重置“八荒归元”调息时间，并使下一次“八荒归元”伤害提高40%，持续10秒。,7445,1.0.0.3931,
太虚剑意,11,虚极,“万剑归宗”调息时间降低2秒，命中目标将使其获得“叠刃”效果且“叠刃”伤害提高15%。,7454,1.0.0.3931,
太虚剑意,11,合虚,“梯云纵”战斗状态下施展，身轻如燕跳得更高，跳跃于空中短暂延迟后使得自身受到伤害降低10%，免疫控制效果，可以施展二段技能，纵剑下刺，对脚下6尺区域最多5个目标造成外功伤害。,14079,1.0.0.3931,
太虚剑意,12,匣中,“剑冲阴阳”伤害提高100%，“剑冲阴阳”施展后立即重置“八荒归元”调息时间。,2939,1.0.0.3931,
太虚剑意,12,心剑两望,“人剑合一”引爆不同的气场，可以使自身获得不同的效果。\n“生太极”使自身移动速度提高10%，可以叠加3层，持续8秒。\n“吞日月”使自身不受招式控制效果的影响(击退和被拉除外)，持续2秒，可以累加3次。\n“化三清”使自身3秒内不消耗内力，持续3秒，可以累加3次。\n“碎星辰”使自身基础攻击提高5%，持续8秒，可以叠加3层。\n“破苍穹”使自己加速率提高3%，持续8秒，可以叠加3层。,3425,1.0.0.3931,
太虚剑意,12,玄门,“生太极”调息时间增加15秒，“人剑合一”只能引爆自身气场，每引爆一个气场，破防等级提高20%，外功会心几率提高3%，持续40秒，可叠加3层。,7492,1.0.0.3931,
太虚剑意,12,行天道,吸收20尺范围内自身的气场，使其聚集形成10尺的“天道剑阵”，“天道剑阵”使该区域同时附带“生太极”“吞日月”“碎星辰”效果，剑阵内剑灵会持续对区域内敌人造成外功伤害，若短时间内连续命中同一个目标，则降低为外功伤害，剑灵每3秒会使范围内的敌人获得1层“叠刃”效果，“天道剑阵”初始持续12秒，每吸收一个气场额外增加4秒。,7498,1.0.0.3931,
太虚剑意,12,凌云剑,朝前怒刺一剑，对12尺范围最多5个目标造成外功伤害，使得目标立即获得2层“叠刃”和“玄一”效果并定身，持续2秒。自身可以随后对被一段定身的目标施展二段技能，冲刺至身前，对270度的6尺范围最多5个目标造成外功伤害，并额外再附带1层“叠刃”和“玄一”效果。,14080,1.0.0.3931,
紫霞功,1,雾锁,“四象轮回”的伤害提高10%，减速效果提高20%。,1446,1.0.0.3931,
紫霞功,1,白虹,“四象轮回”的会心提高10%，会心效果提高10%。,2936,1.0.0.3931,
紫霞功,1,不善,施展“太极无极”使目标移动速度降低40%，持续5秒。,2937,1.0.0.3931,
紫霞功,2,霜锋,“两仪化形”“六合独尊”伤害提高10%。,2941,1.0.0.3931,
紫霞功,2,心固,“四象轮回”命中目标时，使自身下一个“两仪化形”伤害提高30%。,2023,1.0.0.3931,
紫霞功,2,吐故纳新,处于自身“生太极”气场当中，自身受到的伤害降低10%，受到攻击有15%几率令攻击者锁足3秒，并回复自身10%的内力，该效果每20秒只能触发一次。,611,1.0.0.3931,
紫霞功,3,抱一,“坐忘无我”可额外透支使用一次。,631,1.0.0.3931,
紫霞功,3,以静,“生太极”不再降低目标移动速度，而是为自身提高15%移动速度。,11324,1.0.0.3931,
紫霞功,3,无形,“两仪化形”命中目标后，对自身前方20尺内路径上最多5个目标造成混元内功伤害。消耗5格气施展的“两仪化形”会心几率提高10%，会心效果提高10%。,4561,1.0.0.3931,
紫霞功,3,化三清,产生一个10尺的气场，自身每3秒回复20%内力和1.5格气，小队成员每3秒回复5%内力，持续期间不受打退、打断影响，持续9秒。,1444,1.0.0.3931,
紫霞功,4,天地根,自身站立过程中，“万世不竭·飞剑”每把飞剑伤害递增8%。,4534,1.0.0.3931,
紫霞功,4,归元,“破苍穹”只对自己生效，处于“破苍穹”期间自身无视目标50%内功防御。,11859,1.0.0.3931,
紫霞功,4,抱元,“六合独尊”范围提高2尺，目标数量提高2个，会心命中一个目标则获得一柄“气剑”。,2938,1.0.0.3931,
紫霞功,4,八卦洞玄,最少半格气对目标造成混元性内功伤害，最多五格气对目标造成混元性内功伤害，并使目标不能施展内功招式，持续1秒-5秒。并且命中正在运功的目标能令目标在接下来的5秒内无法使用任何内功招式。,1441,1.0.0.3931,
紫霞功,5,雨集,“两仪化形”命中目标有40%几率使下2个“四象轮回”无需运功，此效果每15秒内最多出现一次。,1439,1.0.0.3931,
紫霞功,5,同尘,“六合独尊”每次造成伤害，均使下一次伤害效果提高25%。,4516,1.0.0.3931,
紫霞功,5,北辰,“七星拱瑞”的运功时间降低0.25秒，且不会因目标身上已有的持续伤害效果而提前结束，该效果仅作用玩家目标。,3427,1.0.0.3931,
紫霞功,5,不移,“凭虚御风”闪避效果额外提高15%，持续时间增加3秒。,2932,1.0.0.3931,
紫霞功,6,解牛,对被定身、锁足、眩晕的目标伤害提高20%。,2929,1.0.0.3931,
紫霞功,6,跬步,每存在一柄“气剑”，“四象轮回”“两仪化形”伤害提高1.5%。,9533,1.0.0.3931,
紫霞功,6,玄德,施展“凭虚御风”后使自身受到的内功伤害降低40%，持续5秒。,621,1.0.0.3931,
紫霞功,6,太牢,“五方行尽”每命中一个目标，使自身获得的“会神”效果持续时间增加1秒。,1440,1.0.0.3931,
紫霞功,7,有涯,“七星拱瑞”成功定身目标，使自身混元内功基础攻击力提高20%，持续15秒。,1438,1.0.0.3931,
紫霞功,7,雾外江山,除“镇山河”外所有气场招式的调息时间降低1秒，施展气场后额外回复1格气，成功运功施展气场，则使下一个气场无需运功。,2931,1.0.0.3931,
紫霞功,7,万物,“万世不竭”，会心提高10%，会心效果提高10%，“万世不竭·二段”命中低于气血值40%的目标时伤害提高10%。,2928,1.0.0.3931,
紫霞功,7,冲阴阳,处于自身“生太极”效果中的团队成员受到的内功伤害降低3%，自身受到的内功伤害降低10%且每秒回复0.4%气血最大值。,1442,1.0.0.3931,
紫霞功,8,抱阳,“破苍穹”气场持续时间增加12秒，对自身的增益效果提高100%。,7422,1.0.0.3931,
紫霞功,8,无我,“坐忘无我”每点根骨或身法化解的伤害提高20%，效果期间自身受到的伤害降低50%，受到“锁足”“定身”“眩晕”“击倒”控制效果持续时间缩短30%。,620,1.0.0.3931,
紫霞功,8,羽化,“九转归一”变为2层充能招式，击退中的目标如果碰撞障碍则造成混元性内功伤害。,11855,1.0.0.3931,
紫霞功,8,捉影,“四象轮回”运功时间降低0.25秒，运功不会被打退，有30%几率使目标锁足3秒。,2930,1.0.0.3931,
紫霞功,8,厚亡,施展“三才化生”回复自身2格气，并产生三角形剑域，延时1.5秒后对区域内的最多5个目标造成混元内功伤害。,14082,1.0.0.3931,
紫霞功,9,无极,“太极无极”对定身锁足目标伤害提高150%，且解除其定身锁足效果。,630,1.0.0.3931,
紫霞功,9,浮生,“六合独尊”运功1.5秒之后，在目标点形成“八方剑域”效果，区域内最多6个目标每秒受到混元性内功伤害，并降低80%移动速度，“八方剑域”持续5秒。,9530,1.0.0.3931,
紫霞功,9,玄通,“万世不竭”调息时间降低8秒，气剑持续时间增加12秒。,9554,1.0.0.3931,
紫霞功,9,霜寒,“镇山河”调息时间降低2分钟，效果只作用于自身，且不再获得“化生势”不利效果。,4570,1.0.0.3931,
紫霞功,9,大成,“五方行尽”成功控制目标返还5格气，并使自身“会神”效果翻倍。,1440,1.0.0.3931,
紫霞功,10,期声,位于增益气场中自身混元内功和外功基础攻击提高10%。,2934,1.0.0.3931,
紫霞功,10,心眼,“镇山河”效果范围提高至6尺，受到无法施展内功招式和缴械效果时也可以施展，自身若处于“镇山河”当中，每秒将恢复自身5%气血最大值。,2943,1.0.0.3931,
紫霞功,10,御风,“梯云纵”调息时间降低5秒，战斗过程中施展“梯云纵”则“梯云纵”效果不会因为战斗状态施展而提前消失，持续10秒，且若期间自身处于空中时，则伤害提高10%。,9535,1.0.0.3931,
紫霞功,10,临风,施展“紫气东来”后，运功不会被打退、打断，不受无法施展内功招式和缴械效果的影响，持续6秒。,625,1.0.0.3931,
