P_ID,uiId,iconID,name,menpai,xinfa,type,quality,score,body,spirit,strength,agility,spunk,basicPhysicsShield,basicMagicShield,damageBase,damageRange,attackSpeed,physicsShield,magicShield,dodge,parryBase,parryValue,toughness,attack,heal,crit,critEffect,overcome,acce,hit,strain,huajing,threat,texiao,xiangqian,strengthen,dropSource
32304,任务,11360,阆风帽,0,5,9,1650,2673,370,0,0,135,0,54,43,0,0,0,0,0,0,0,0,0,246,0,0,0,576,0,274,0,0,0,,,6,任务
32305,任务,11360,湘蘋簪,0,6,9,1650,2673,370,135,0,0,0,43,54,0,0,0,0,0,0,0,0,0,0,544,0,0,0,0,0,0,0,0,,,6,任务
32306,任务,11360,吉士帽,0,7,9,1650,2673,535,0,0,0,0,54,54,0,0,0,274,0,0,0,0,137,0,0,0,0,0,0,0,137,0,159,,,6,任务
32307,任务,11356,归宁袍,0,3,8,1650,2970,411,150,0,0,0,54,68,0,0,0,0,0,0,0,0,0,327,0,0,0,640,0,305,0,0,0,,,6,任务
32308,任务,11356,燕音帔,0,2,8,1650,2970,411,0,0,0,150,54,68,0,0,0,0,0,0,0,0,0,327,0,0,0,640,0,305,0,0,0,,,6,任务
32309,任务,11356,赤鲂软胄,0,4,8,1650,2970,411,0,150,0,0,68,54,0,0,0,0,0,0,0,0,0,273,0,0,0,640,0,305,0,0,0,,,6,任务
32310,任务,11356,阆风麾,0,5,8,1650,2970,411,0,0,150,0,68,54,0,0,0,0,0,0,0,0,0,273,0,0,0,640,0,305,0,0,0,,,6,任务
32311,任务,11356,湘蘋罗杉,0,6,8,1650,2970,411,150,0,0,0,54,68,0,0,0,0,0,0,0,0,0,0,605,0,0,0,0,0,0,0,0,,,6,任务
32312,任务,11356,吉士护颈,0,7,8,1650,2970,594,0,0,0,0,68,68,0,0,0,457,0,0,0,0,0,0,0,0,0,0,305,0,152,0,159,,,6,任务
32313,任务,5876,夙星袖,0,3,6,2000,2520,349,128,0,0,0,46,57,0,0,0,0,0,0,0,0,0,278,0,0,0,543,0,259,0,0,0,,2D39D27,6,任务
32314,任务,5876,寤寐护手,0,2,6,2000,2520,349,0,0,0,128,46,57,0,0,0,0,0,0,0,0,0,278,0,0,0,543,0,259,0,0,0,,2D39D27,6,任务
32315,任务,5876,旌荣臂甲,0,4,6,2000,2520,349,0,128,0,0,57,46,0,0,0,0,0,0,0,0,0,231,0,0,0,543,0,259,0,0,0,,2D39D18,6,任务
32316,任务,5876,方慕袖,0,5,6,2000,2520,349,0,0,128,0,57,46,0,0,0,0,0,0,0,0,0,231,0,0,0,543,0,259,0,0,0,,2D39D18,6,任务
32317,任务,5876,遥夕袖,0,6,6,2000,2520,349,128,0,0,0,46,57,0,0,0,0,0,0,0,0,0,0,250,465,0,0,0,0,0,0,0,,2D10D39,6,任务
32318,任务,5876,鱼丽护手,0,7,6,2000,2520,504,0,0,0,0,57,57,0,0,0,388,0,0,0,0,0,0,0,0,0,0,259,0,129,0,384,,2D42D45,6,任务
32319,任务,5877,夙星缠,0,3,10,2000,2520,349,128,0,0,0,33,41,0,0,0,0,0,0,0,0,0,278,0,0,0,543,0,259,0,0,0,,2D39D00,6,任务
32320,任务,5877,寤寐腰带,0,2,10,2000,2520,349,0,0,0,128,33,41,0,0,0,0,0,0,0,0,0,278,0,0,0,543,0,259,0,0,0,,2D39D01,6,任务
32321,任务,5877,旌荣腰带,0,4,10,2000,2520,349,0,128,0,0,41,33,0,0,0,0,0,0,0,0,0,231,0,0,0,543,0,259,0,0,0,,2D39D02,6,任务
32322,任务,5877,方慕腰带,0,5,10,2000,2520,349,0,0,128,0,41,33,0,0,0,0,0,0,0,0,0,231,0,0,0,543,0,259,0,0,0,,2D39D04,6,任务
32323,任务,5877,遥夕缠,0,6,10,2000,2520,349,128,0,0,0,33,41,0,0,0,0,0,0,0,0,0,0,250,465,0,0,0,0,0,0,0,,2D31D39,6,任务
32324,任务,5877,鱼丽护腰,0,7,10,2000,2520,504,0,0,0,0,41,41,0,0,0,259,0,0,0,0,129,0,0,0,0,0,0,0,129,0,384,,2D03D47,6,任务
32325,任务,5880,夙星屐,0,3,5,2000,2520,349,128,0,0,0,33,41,0,0,0,0,0,0,0,0,0,278,0,0,0,543,0,259,0,0,0,,2D20D05,6,任务
32326,任务,5880,寤寐鞋,0,2,5,2000,2520,349,0,0,0,128,33,41,0,0,0,0,0,0,0,0,0,278,0,0,0,543,0,259,0,0,0,,2D36D05,6,任务
32327,任务,5880,旌荣战靴,0,4,5,2000,2520,349,0,128,0,0,41,33,0,0,0,0,0,0,0,0,0,231,0,0,0,543,0,259,0,0,0,,2D09D05,6,任务
32328,任务,5880,方慕鞋,0,5,5,2000,2520,349,0,0,128,0,41,33,0,0,0,0,0,0,0,0,0,231,0,0,0,543,0,259,0,0,0,,2D09D05,6,任务
32329,任务,5880,遥夕屐,0,6,5,2000,2520,349,128,0,0,0,33,41,0,0,0,0,0,0,0,0,0,0,250,465,0,0,0,0,0,0,0,,2D39D00,6,任务
32330,任务,5880,鱼丽战靴,0,7,5,2000,2520,504,0,0,0,0,41,41,0,0,0,65,323,0,0,0,0,0,0,0,0,0,0,259,129,0,384,,2D03D47,6,任务
32331,任务,5879,夙星裳,0,3,7,2000,3600,499,182,0,0,0,59,74,0,0,0,0,0,0,0,0,0,397,0,0,0,776,0,369,0,0,0,,2D03D36,6,任务
32332,任务,5879,寤寐裤,0,2,7,2000,3600,499,0,0,0,182,59,74,0,0,0,0,0,0,0,0,0,397,0,0,0,776,0,369,0,0,0,,2D03D36,6,任务
32333,任务,5879,旌荣护腿,0,4,7,2000,3600,499,0,182,0,0,74,59,0,0,0,0,0,0,0,0,0,331,0,0,0,776,0,369,0,0,0,,2D03D36,6,任务
32334,任务,5879,方慕裤,0,5,7,2000,3600,499,0,0,182,0,74,59,0,0,0,0,0,0,0,0,0,331,0,0,0,776,0,369,0,0,0,,2D03D36,6,任务
32335,任务,5879,遥夕裳,0,6,7,2000,3600,499,182,0,0,0,59,74,0,0,0,0,0,0,0,0,0,0,358,665,0,0,0,0,0,0,0,,2D41D39,6,任务
32336,任务,5879,鱼丽劲装,0,7,7,2000,3600,720,0,0,0,0,74,74,0,0,0,0,369,0,0,0,185,0,0,0,0,0,0,0,185,0,384,,2D42D47,6,任务
32337,任务,5875,夙星冠,0,3,9,2000,3240,449,164,0,0,0,52,65,0,0,0,0,0,0,0,0,0,357,0,698,0,0,0,332,0,0,0,,2D39D27,6,任务
32338,任务,5875,寤寐帽,0,2,9,2000,3240,449,0,0,0,164,52,65,0,0,0,0,0,0,0,0,0,357,0,698,0,0,0,332,0,0,0,,2D39D27,6,任务
32339,任务,5875,旌荣盔,0,4,9,2000,3240,449,0,164,0,0,65,52,0,0,0,0,0,0,0,0,0,298,0,698,0,0,0,332,0,0,0,,2D39D18,6,任务
32340,任务,5875,方慕巾,0,5,9,2000,3240,449,0,0,164,0,65,52,0,0,0,0,0,0,0,0,0,298,0,698,0,0,0,332,0,0,0,,2D39D18,6,任务
32341,任务,5875,遥夕簪,0,6,9,2000,3240,449,164,0,0,0,52,65,0,0,0,0,0,0,0,0,0,0,322,598,0,0,0,0,0,0,0,,2D00D39,6,任务
32342,任务,5875,鱼丽盔,0,7,9,2000,3240,648,0,0,0,0,65,65,0,0,0,83,0,249,0,0,166,0,0,0,0,0,0,0,166,0,384,,2D03D44,6,任务
32343,任务,5878,夙星帔,0,3,8,2000,3600,499,182,0,0,0,65,82,0,0,0,0,0,0,0,0,0,397,0,776,0,0,0,369,0,0,0,,2D03D10,6,任务
32344,任务,5878,寤寐衫,0,2,8,2000,3600,499,0,0,0,182,65,82,0,0,0,0,0,0,0,0,0,397,0,776,0,0,0,369,0,0,0,,2D03D37,6,任务
32345,任务,5878,旌荣胄,0,4,8,2000,3600,499,0,182,0,0,82,65,0,0,0,0,0,0,0,0,0,331,0,776,0,0,0,369,0,0,0,,2D03D06,6,任务
32346,任务,5878,方慕袍,0,5,8,2000,3600,499,0,0,182,0,82,65,0,0,0,0,0,0,0,0,0,331,0,776,0,0,0,369,0,0,0,,2D03D06,6,任务
32347,任务,5878,遥夕帔,0,6,8,2000,3600,499,182,0,0,0,65,82,0,0,0,0,0,0,0,0,0,0,358,665,0,0,0,0,0,0,0,,2D31D00,6,任务
32348,任务,5878,鱼丽胄,0,7,8,2000,3600,720,0,0,0,0,82,82,0,0,0,92,0,462,0,0,0,0,0,0,0,0,0,369,185,0,384,,2D47D03,6,任务
32349,掉落,6827,临流袖,0,3,6,2100,2646,366,134,0,0,0,48,60,0,0,0,0,0,0,0,0,0,292,0,0,0,570,0,271,0,0,0,,2D39D27,6,掉落
32350,掉落,6827,襄童护手,0,2,6,2100,2646,366,0,0,0,134,48,60,0,0,0,0,0,0,0,0,0,292,0,0,0,570,0,271,0,0,0,,2D39D27,6,掉落
32351,掉落,6827,长阔臂甲,0,4,6,2100,2646,366,0,134,0,0,60,48,0,0,0,0,0,0,0,0,0,243,0,0,0,570,0,271,0,0,0,,2D39D18,6,掉落
32352,掉落,6827,南徵护手,0,5,6,2100,2646,366,0,0,134,0,60,48,0,0,0,0,0,0,0,0,0,243,0,0,0,570,0,271,0,0,0,,2D39D18,6,掉落
32353,掉落,6827,含英袖,0,6,6,2100,2646,366,134,0,0,0,48,60,0,0,0,0,0,0,0,0,0,0,263,489,0,0,0,0,0,0,0,,2D10D39,6,掉落
32354,掉落,6827,海戍护手,0,7,6,2100,2646,529,0,0,0,0,60,60,0,0,0,407,0,0,0,0,0,0,0,0,0,0,136,136,0,0,404,,2D42D45,6,掉落
32355,掉落,6826,临流带,0,3,10,2100,2646,366,134,0,0,0,34,43,0,0,0,0,0,0,0,0,0,292,0,0,0,570,0,271,0,0,0,,2D39D00,6,掉落
32356,掉落,6826,襄童缠,0,2,10,2100,2646,366,0,0,0,134,34,43,0,0,0,0,0,0,0,0,0,292,0,0,0,570,0,271,0,0,0,,2D39D01,6,掉落
32357,掉落,6826,长阔护腰,0,4,10,2100,2646,366,0,134,0,0,43,34,0,0,0,0,0,0,0,0,0,243,0,0,0,570,0,271,0,0,0,,2D39D02,6,掉落
32358,掉落,6826,南徵腰带,0,5,10,2100,2646,366,0,0,134,0,43,34,0,0,0,0,0,0,0,0,0,243,0,0,0,570,0,271,0,0,0,,2D39D04,6,掉落
32359,掉落,6826,含英绣带,0,6,10,2100,2646,366,134,0,0,0,34,43,0,0,0,0,0,0,0,0,0,0,263,489,0,0,0,0,0,0,0,,2D31D39,6,掉落
32360,掉落,6826,海戍护腰,0,7,10,2100,2646,529,0,0,0,0,43,43,0,0,0,407,0,0,0,0,0,0,0,0,0,0,271,0,136,0,404,,2D05D47,6,掉落
32361,掉落,6825,临流履,0,3,5,2100,2646,366,134,0,0,0,34,43,0,0,0,0,0,0,0,0,0,292,0,0,0,570,0,271,0,0,0,,2D20D05,6,掉落
32362,掉落,6825,襄童鞋,0,2,5,2100,2646,366,0,0,0,134,34,43,0,0,0,0,0,0,0,0,0,292,0,0,0,570,0,271,0,0,0,,2D36D05,6,掉落
32363,掉落,6825,长阔战靴,0,4,5,2100,2646,366,0,134,0,0,43,34,0,0,0,0,0,0,0,0,0,243,0,0,0,570,0,271,0,0,0,,2D09D05,6,掉落
32364,掉落,6825,南徵靴,0,5,5,2100,2646,366,0,0,134,0,43,34,0,0,0,0,0,0,0,0,0,243,0,0,0,570,0,271,0,0,0,,2D09D05,6,掉落
32365,掉落,6825,含英屐,0,6,5,2100,2646,366,134,0,0,0,34,43,0,0,0,0,0,0,0,0,0,0,539,0,0,0,0,0,0,0,0,,2D10D39,6,掉落
32366,掉落,6825,海戍战靴,0,7,5,2100,2646,529,0,0,0,0,43,43,0,0,0,68,0,339,0,0,0,0,0,0,0,0,0,271,136,0,404,,2D45D47,6,掉落
32367,掉落,6824,临流裳,0,3,7,2100,3780,524,191,0,0,0,62,77,0,0,0,0,0,0,0,0,0,417,0,0,0,814,0,388,0,0,0,,2D03D36,6,掉落
32368,掉落,6824,襄童裤,0,2,7,2100,3780,524,0,0,0,191,62,77,0,0,0,0,0,0,0,0,0,417,0,0,0,814,0,388,0,0,0,,2D03D36,6,掉落
32369,掉落,6824,长阔劲装,0,4,7,2100,3780,524,0,191,0,0,77,62,0,0,0,0,0,0,0,0,0,347,0,0,0,814,0,388,0,0,0,,2D03D36,6,掉落
32370,掉落,6824,南徵裤,0,5,7,2100,3780,524,0,0,191,0,77,62,0,0,0,0,0,0,0,0,0,347,0,0,0,814,0,388,0,0,0,,2D03D36,6,掉落
32371,掉落,6824,含英裳,0,6,7,2100,3780,524,191,0,0,0,62,77,0,0,0,0,0,0,0,0,0,0,375,698,0,0,0,0,0,0,0,,2D41D39,6,掉落
32372,掉落,6824,海戍护腿,0,7,7,2100,3780,756,0,0,0,0,77,77,0,0,0,582,0,0,0,0,0,0,0,0,0,0,194,194,0,0,404,,2D03D42,6,掉落
32373,掉落,6822,临流帽,0,3,9,2100,3402,471,172,0,0,0,55,69,0,0,0,0,0,0,0,0,0,375,0,0,0,733,0,349,0,0,0,,2D00D39,6,掉落
32374,掉落,6822,襄童巾,0,2,9,2100,3402,471,0,0,0,172,55,69,0,0,0,0,0,0,0,0,0,375,0,0,0,733,0,349,0,0,0,,2D01D39,6,掉落
32375,掉落,6822,长阔战盔,0,4,9,2100,3402,471,0,172,0,0,69,55,0,0,0,0,0,0,0,0,0,312,0,0,0,733,0,349,0,0,0,,2D02D39,6,掉落
32376,掉落,6822,南徵冠,0,5,9,2100,3402,471,0,0,172,0,69,55,0,0,0,0,0,0,0,0,0,312,0,0,0,733,0,349,0,0,0,,2D04D39,6,掉落
32377,掉落,6822,含英簪,0,6,9,2100,3402,471,172,0,0,0,55,69,0,0,0,0,0,0,0,0,0,0,338,628,0,0,0,0,0,0,0,,2D00D39,6,掉落
32378,掉落,6822,海戍盔,0,7,9,2100,3402,681,0,0,0,0,69,69,0,0,0,524,0,0,0,0,0,0,0,0,0,0,349,0,175,0,404,,2D47D42,6,掉落
32379,掉落,6823,临流衫,0,3,8,2100,3780,524,191,0,0,0,69,86,0,0,0,0,0,0,0,0,0,417,0,0,0,814,0,388,0,0,0,,2D00D39,6,掉落
32380,掉落,6823,襄童袍,0,2,8,2100,3780,524,0,0,0,191,69,86,0,0,0,0,0,0,0,0,0,417,0,0,0,814,0,388,0,0,0,,2D01D39,6,掉落
32381,掉落,6823,长阔古胄,0,4,8,2100,3780,524,0,191,0,0,86,69,0,0,0,0,0,0,0,0,0,347,0,0,0,814,0,388,0,0,0,,2D02D39,6,掉落
32382,掉落,6823,南徵衣,0,5,8,2100,3780,524,0,0,191,0,86,69,0,0,0,0,0,0,0,0,0,347,0,0,0,814,0,388,0,0,0,,2D04D39,6,掉落
32383,掉落,6823,含英帔,0,6,8,2100,3780,524,191,0,0,0,69,86,0,0,0,0,0,0,0,0,0,0,375,698,0,0,0,0,0,0,0,,2D31D00,6,掉落
32384,掉落,6823,海戍战甲,0,7,8,2100,3780,756,0,0,0,0,86,86,0,0,0,582,0,0,0,0,0,0,0,0,0,0,388,0,194,0,404,,2D47D03,6,掉落
32385,声望,1978,凛永护手,0,3,6,2110,2658,368,135,0,0,0,48,60,0,0,0,0,0,0,0,0,0,293,0,573,0,0,0,273,0,0,0,,2D00D05,6,/声望:迷渊岛(友好)
32386,声望,1978,凛源护手,0,2,6,2110,2658,368,0,0,0,135,48,60,0,0,0,0,0,0,0,0,0,293,0,573,0,0,0,273,0,0,0,,2D01D05,6,/声望:迷渊岛(友好)
32387,声望,1978,凛石护手,0,4,6,2110,2658,368,0,135,0,0,60,48,0,0,0,0,0,0,0,0,0,244,0,573,0,0,0,273,0,0,0,,2D02D05,6,/声望:迷渊岛(友好)
32388,声望,1978,凛骁护手,0,5,6,2110,2658,368,0,0,135,0,60,48,0,0,0,0,0,0,0,0,0,244,0,573,0,0,0,273,0,0,0,,2D04D05,6,/声望:迷渊岛(友好)
32389,声望,1978,凛康护手,0,6,6,2110,2658,368,135,0,0,0,48,60,0,0,0,0,0,0,0,0,0,0,264,0,0,0,491,0,0,0,0,,2D05D41,6,/声望:迷渊岛(友好)
32390,声望,1978,凛安护手,0,7,6,2110,2658,532,0,0,0,0,60,60,0,0,0,68,0,0,341,1971,0,0,0,0,0,0,136,136,0,0,405,,2D45D42,6,/声望:迷渊岛(友好)
32391,声望,1962,凛迁腰带,0,3,10,2110,2658,368,135,0,0,0,35,43,0,0,0,0,0,0,0,0,0,293,0,0,0,573,0,0,273,0,0,,2D11D05,6,/声望:盘丝洞(友好)
32392,声望,1962,凛浩腰带,0,2,10,2110,2658,368,0,0,0,135,35,43,0,0,0,0,0,0,0,0,0,293,0,0,0,573,0,0,273,0,0,,2D11D05,6,/声望:盘丝洞(友好)
32393,声望,1962,凛刚腰带,0,4,10,2110,2658,368,0,135,0,0,43,35,0,0,0,0,0,0,0,0,0,244,0,0,0,573,0,0,273,0,0,,2D11D05,6,/声望:盘丝洞(友好)
32394,声望,1962,凛健腰带,0,5,10,2110,2658,368,0,0,135,0,43,35,0,0,0,0,0,0,0,0,0,244,0,0,0,573,0,0,273,0,0,,2D11D05,6,/声望:盘丝洞(友好)
32395,声望,1962,凛治腰带,0,6,10,2110,2658,368,135,0,0,0,35,43,0,0,0,0,0,0,0,0,0,0,264,0,0,0,491,0,0,0,0,,2D00D10,6,/声望:盘丝洞(友好)
32396,声望,1962,凛谦腰带,0,7,10,2110,2658,532,0,0,0,0,43,43,0,0,0,68,0,341,0,0,0,0,0,0,0,0,0,273,136,0,405,,2D03D47,6,/声望:盘丝洞(友好)
32397,声望,1186,凛沁鞋,0,3,5,2110,2658,368,135,0,0,0,35,43,0,0,0,0,0,0,0,0,0,293,0,573,0,0,0,273,0,0,0,,2D20D05,6,/声望:泥兰洞天(友好)
32398,声望,1186,凛清鞋,0,2,5,2110,2658,368,0,0,0,135,35,43,0,0,0,0,0,0,0,0,0,293,0,573,0,0,0,273,0,0,0,,2D36D05,6,/声望:泥兰洞天(友好)
32399,声望,1186,凛勇鞋,0,4,5,2110,2658,368,0,135,0,0,43,35,0,0,0,0,0,0,0,0,0,244,0,573,0,0,0,273,0,0,0,,2D09D05,6,/声望:泥兰洞天(友好)
32400,声望,1186,凛闪鞋,0,5,5,2110,2658,368,0,0,135,0,43,35,0,0,0,0,0,0,0,0,0,244,0,573,0,0,0,273,0,0,0,,2D09D05,6,/声望:泥兰洞天(友好)
32401,声望,1186,凛苏鞋,0,6,5,2110,2658,368,135,0,0,0,35,43,0,0,0,0,0,0,0,0,0,0,264,491,0,0,0,0,0,0,0,,2D39D00,6,/声望:泥兰洞天(友好)
32402,声望,1186,凛羽鞋,0,7,5,2110,2658,532,0,0,0,0,43,43,0,0,0,68,341,0,0,0,0,0,0,0,0,0,0,273,136,0,405,,2D03D47,6,/声望:泥兰洞天(友好)
32403,声望,2827,凛宜帽,0,3,9,2110,3418,473,173,0,0,0,55,69,0,0,0,0,0,0,0,0,0,377,0,0,0,736,0,0,351,0,0,,2D00D39,6,/声望:镜泊湖(友好)
32404,声望,2827,凛兴帽,0,2,9,2110,3418,473,0,0,0,173,55,69,0,0,0,0,0,0,0,0,0,377,0,0,0,736,0,0,351,0,0,,2D01D39,6,/声望:镜泊湖(友好)
32405,声望,2827,凛当帽,0,4,9,2110,3418,473,0,173,0,0,69,55,0,0,0,0,0,0,0,0,0,314,0,0,0,736,0,0,351,0,0,,2D02D39,6,/声望:镜泊湖(友好)
32406,声望,2827,凛冲帽,0,5,9,2110,3418,473,0,0,173,0,69,55,0,0,0,0,0,0,0,0,0,314,0,0,0,736,0,0,351,0,0,,2D04D39,6,/声望:镜泊湖(友好)
32407,声望,2827,凛泽帽,0,6,9,2110,3418,473,173,0,0,0,55,69,0,0,0,0,0,0,0,0,0,0,339,0,0,0,631,0,0,0,0,,2D00D05,6,/声望:镜泊湖(友好)
32408,声望,2827,凛惠帽,0,7,9,2110,3418,684,0,0,0,0,69,69,0,0,0,526,0,0,0,0,0,0,0,0,0,0,0,351,175,0,405,,2D03D44,6,/声望:镜泊湖(友好)
32409,副本,5882,惊鸾袖,0,3,6,2200,2772,384,140,0,0,0,50,63,0,0,0,0,0,0,0,0,0,306,0,0,0,597,0,284,0,0,0,,2D39D27,6,/副本·泥兰洞天: 康成辩
32410,副本,5882,泛梦袖,0,2,6,2200,2772,384,0,0,0,140,50,63,0,0,0,0,0,0,0,0,0,306,0,0,0,597,0,284,0,0,0,,2D39D27,6,/副本·泥兰洞天: 康成辩
32411,副本,5882,魁元袖,0,4,6,2200,2772,384,0,140,0,0,63,50,0,0,0,0,0,0,0,0,0,255,0,0,0,597,0,284,0,0,0,,2D39D18,6,/副本·泥兰洞天: 康成辩
32412,副本,5882,弥影袖,0,5,6,2200,2772,384,0,0,140,0,63,50,0,0,0,0,0,0,0,0,0,255,0,0,0,597,0,284,0,0,0,,2D39D18,6,/副本·泥兰洞天: 康成辩
32413,副本,5882,苍蕴袖,0,6,6,2200,2772,384,140,0,0,0,50,63,0,0,0,0,0,0,0,0,0,0,275,512,0,0,0,0,0,0,0,,2D10D39,6,/副本·泥兰洞天: 康成辩
32414,副本,5882,磐庚袖,0,7,6,2200,2772,555,0,0,0,0,63,63,0,0,0,71,0,355,0,0,0,0,0,0,0,0,0,284,142,0,423,,2D45D42,6,/副本·泥兰洞天: 康成辩
32415,副本,5883,惊鸾带,0,3,10,2200,2772,384,140,0,0,0,36,45,0,0,0,0,0,0,0,0,0,306,0,0,0,597,0,284,0,0,0,,2D39D00,6,/副本·镜泊湖: 寒鸦三女
32416,副本,5883,泛梦带,0,2,10,2200,2772,384,0,0,0,140,36,45,0,0,0,0,0,0,0,0,0,306,0,0,0,597,0,284,0,0,0,,2D39D01,6,/副本·镜泊湖: 寒鸦三女
32417,副本,5883,魁元带,0,4,10,2200,2772,384,0,140,0,0,45,36,0,0,0,0,0,0,0,0,0,255,0,0,0,597,0,284,0,0,0,,2D39D02,6,/副本·镜泊湖: 寒鸦三女
32418,副本,5883,弥影带,0,5,10,2200,2772,384,0,0,140,0,45,36,0,0,0,0,0,0,0,0,0,255,0,0,0,597,0,284,0,0,0,,2D39D04,6,/副本·镜泊湖: 寒鸦三女
32419,副本,5883,苍蕴带,0,6,10,2200,2772,384,140,0,0,0,36,45,0,0,0,0,0,0,0,0,0,0,275,512,0,0,0,0,0,0,0,,2D31D39,6,/副本·镜泊湖: 寒鸦三女
32420,副本,5883,磐庚带,0,7,10,2200,2772,555,0,0,0,0,45,45,0,0,0,71,0,355,0,0,0,0,0,0,0,0,0,284,142,0,423,,2D03D47,6,/副本·镜泊湖: 寒鸦三女
