id,type,comment,activity,limitedTime,redeem,reputationId,bossId
64,other,野外boss,,0,,NULL,NULL
65,raid,,,0,,NULL,34
66,raid,,,0,,NULL,35
67,raid,,,0,,NULL,36
68,raid,,,0,,NULL,37
69,raid,,,0,,NULL,38
70,raid,,,0,,NULL,39
71,raid,,,0,,NULL,40
72,raid,,,0,,NULL,41
73,raid,,,0,,NULL,42
74,raid,,,0,,NULL,43
75,raid,,,0,,NULL,44
76,raid,,,0,,NULL,45
77,raid,,,0,,NULL,46
78,raid,,,0,,NULL,47
79,raid,,,0,,NULL,48
80,redeem,生活技能,,0,store,NULL,NULL
81,reputation,,,0,,13,NULL
82,reputation,,,0,,14,NULL
83,redeem,,,0,arena,NULL,NULL
84,redeem,,,0,prestige_virtue,NULL,NULL
85,redeem,,,0,prestige_fiend,NULL,NULL
86,redeem,龙门寻宝商店,,0,store,NULL,NULL
87,activity,,奇宝之争,0,,NULL,NULL
88,raid,,,0,,NULL,49
89,raid,,,0,,NULL,50
90,raid,,,0,,NULL,51
91,raid,,,0,,NULL,52
92,activity,,试炼之地,0,,NULL,NULL
93,reputation,,,0,,15,NULL
94,reputation,,,0,,16,NULL
95,reputation,,,0,,17,NULL
96,reputation,,,0,,18,NULL
97,reputation,,,0,,19,NULL
98,reputation,,,0,,20,NULL
99,reputation,,,0,,21,NULL
100,reputation,,,0,,22,NULL
101,reputation,,,0,,23,NULL
102,reputation,,,0,,24,NULL
103,reputation,,,0,,25,NULL
104,reputation,,,0,,26,NULL
105,reputation,,,0,,27,NULL
106,reputation,,,0,,28,NULL
107,reputation,,,0,,29,NULL
108,reputation,,,0,,30,NULL
109,reputation,,,0,,31,NULL
110,reputation,,,0,,32,NULL
111,reputation,,,0,,33,NULL
112,reputation,,,0,,34,NULL
113,other,任务,,0,,NULL,NULL
114,activity,,限时活动,1,,NULL,NULL
115,reputation,,,0,,35,NULL
116,activity,,阵营拍卖,0,,NULL,NULL
117,raid,,,0,,NULL,53
118,raid,,,0,,NULL,54
119,raid,,,0,,NULL,55
120,raid,,,0,,NULL,56
121,raid,,,0,,NULL,57
122,raid,,,0,,NULL,58
123,raid,,,0,,NULL,59
124,reputation,,,0,,36,NULL
125,reputation,,,0,,37,NULL
126,reputation,,,0,,38,NULL
127,reputation,,,0,,39,NULL
128,other,"•浑浑噩噩的魂灵,祆教圣使,塞外邪神,异国的王子,域外老祖,古烈,栾先,林勇发,容英朗,上古祭司,盈珠,伏鹿孤,赖飞,屠弘和,贡鸿畅,戈世,贲景昂,居煜城,别飞捷,浑浑噩噩的魂灵,尸王,剑魂,威比,拓拔阳泽,况后德容,伏烨磊,盈钰",,0,,NULL,NULL
129,raid,,,0,,NULL,60
130,raid,,,0,,NULL,61
131,raid,,,0,,NULL,62
132,raid,,,0,,NULL,63
133,raid,,,0,,NULL,64
134,raid,,,0,,NULL,65
135,raid,,,0,,NULL,66
136,raid,,,0,,NULL,67
137,raid,,,0,,NULL,68
138,raid,,,0,,NULL,69
139,raid,,,0,,NULL,70
140,raid,,,0,,NULL,71
141,raid,,,0,,NULL,72
142,reputation,,,0,,40,NULL
143,reputation,,,0,,41,NULL
144,other,"•浑浑噩噩的魂灵,呼延兴平,伏鹿地",,0,,NULL,NULL
145,raid,,,0,,NULL,73
146,raid,,,0,,NULL,74
147,raid,,,0,,NULL,75
148,raid,,,0,,NULL,76
149,raid,,,0,,NULL,77
150,raid,,,0,,NULL,78
151,raid,,,0,,NULL,79
152,raid,,,0,,NULL,80
153,raid,,,0,,NULL,81
154,raid,,,0,,NULL,82
155,raid,,,0,,NULL,83
156,reputation,,,0,,42,NULL
157,reputation,,,0,,43,NULL
158,activity,,浪客行,0,,NULL,NULL
159,raid,,,0,,NULL,84
160,raid,,,0,,NULL,85
161,raid,,,0,,NULL,86
162,raid,,,0,,NULL,87
163,raid,,,0,,NULL,88
164,raid,,,0,,NULL,89
165,raid,,,0,,NULL,90
166,reputation,,,0,,44,NULL
167,reputation,,,0,,45,NULL
168,reputation,,,0,,46,NULL
169,reputation,,,0,,47,NULL
170,reputation,,,0,,48,NULL
171,reputation,,,0,,49,NULL
172,other,"任务•寻仙小径,盘问工匠",,0,,NULL,NULL
173,other,"任务•笑里藏刀,装死之人",,0,,NULL,NULL
174,other,"任务•甲士零件,返回内坊",,0,,NULL,NULL
175,other,"任务•司徒一一,甲鱼异动",,0,,NULL,NULL
176,other,"任务•绝情谷开,兵分两路",,0,,NULL,NULL
177,other,"任务•凌雪驰援,虚晃一招",,0,,NULL,NULL
178,other,"任务•小别做东,侠援四方",,0,,NULL,NULL
179,other,"任务•人间酷刑,轻装简行",,0,,NULL,NULL
180,other,"任务•面见澄正,诡秘实验",,0,,NULL,NULL
181,other,"任务•上房揭瓦,兵行险着",,0,,NULL,NULL
182,other,"任务•狗粪之首,合兵在即",,0,,NULL,NULL
183,other,"任务•匪首去向,茶园求援",,0,,NULL,NULL
184,raid,,,0,,NULL,91
185,raid,,,0,,NULL,92
186,raid,,,0,,NULL,93
187,raid,,,0,,NULL,94
188,raid,,,0,,NULL,95
189,raid,,,0,,NULL,96
190,raid,,,0,,NULL,97
191,raid,,,0,,NULL,98
192,raid,,,0,,NULL,99
193,raid,,,0,,NULL,100
194,raid,,,0,,NULL,101
195,raid,,,0,,NULL,102
196,raid,,,0,,NULL,103
197,raid,,,0,,NULL,104
198,raid,,,0,,NULL,105
199,raid,,,0,,NULL,106
200,raid,,,0,,NULL,107
201,raid,,,0,,NULL,108
202,raid,,,0,,NULL,109
203,raid,,,0,,NULL,110
204,raid,,,0,,NULL,111
205,raid,,,0,,NULL,112
206,raid,,,0,,NULL,113
207,raid,,,0,,NULL,114
208,raid,,,0,,NULL,115
209,raid,,,0,,NULL,116
210,raid,,,0,,NULL,117
211,raid,,,0,,NULL,118
212,raid,,,0,,NULL,119
213,raid,,,0,,NULL,120
214,raid,,,0,,NULL,121
215,raid,,,0,,NULL,122
216,raid,,,0,,NULL,123
217,raid,,,0,,NULL,124
218,raid,,,0,,NULL,125
219,raid,,,0,,NULL,126
220,raid,,,0,,NULL,127
221,raid,,,0,,NULL,128
222,raid,,,0,,NULL,129
223,raid,,,0,,NULL,130
224,raid,,,0,,NULL,131
225,raid,,,0,,NULL,132
226,raid,,,0,,NULL,133
227,raid,,,0,,NULL,134
228,raid,,,0,,NULL,135
229,raid,,,0,,NULL,136
230,raid,,,0,,NULL,137
231,raid,,,0,,NULL,138
232,raid,,,0,,NULL,139
233,raid,,,0,,NULL,140
234,raid,,,0,,NULL,141
235,raid,,,0,,NULL,142
236,raid,,,0,,NULL,143
237,raid,,,0,,NULL,144
238,raid,,,0,,NULL,145
239,raid,,,0,,NULL,146
240,raid,,,0,,NULL,147
241,raid,,,0,,NULL,148
242,raid,,,0,,NULL,149
243,raid,,,0,,NULL,150
244,raid,,,0,,NULL,151
245,raid,,,0,,NULL,152
246,raid,,,0,,NULL,153
247,raid,,,0,,NULL,154
248,raid,,,0,,NULL,155
249,raid,,,0,,NULL,156
250,raid,,,0,,NULL,157
251,raid,,,0,,NULL,158
252,raid,,,0,,NULL,159
253,raid,,,0,,NULL,160
254,raid,,,0,,NULL,161
255,raid,,,0,,NULL,162
256,raid,,,0,,NULL,163
257,raid,,,0,,NULL,164
258,raid,,,0,,NULL,165
259,raid,,,0,,NULL,166
260,raid,,,0,,NULL,167
261,raid,,,0,,NULL,168
262,raid,,,0,,NULL,169
263,raid,,,0,,NULL,170
264,raid,,,0,,NULL,171
265,raid,,,0,,NULL,172
266,raid,,,0,,NULL,173
267,raid,,,0,,NULL,174
268,raid,,,0,,NULL,175
269,raid,,,0,,NULL,176
270,raid,,,0,,NULL,177
271,raid,,,0,,NULL,178
272,raid,,,0,,NULL,179
273,raid,,,0,,NULL,180
274,raid,,,0,,NULL,181
275,raid,,,0,,NULL,182
276,raid,,,0,,NULL,183
277,raid,,,0,,NULL,184
278,raid,,,0,,NULL,185
279,raid,,,0,,NULL,186
280,raid,,,0,,NULL,187
281,raid,,,0,,NULL,188
282,raid,,,0,,NULL,189
283,raid,,,0,,NULL,190
284,raid,,,0,,NULL,191
285,raid,,,0,,NULL,192
286,raid,,,0,,NULL,193
287,raid,,,0,,NULL,194
288,raid,,,0,,NULL,195
289,raid,,,0,,NULL,196
290,raid,,,0,,NULL,197
291,raid,,,0,,NULL,198
292,raid,,,0,,NULL,199
293,raid,,,0,,NULL,200
294,raid,,,0,,NULL,201
295,raid,,,0,,NULL,202
296,raid,,,0,,NULL,203
297,raid,,,0,,NULL,204
298,raid,,,0,,NULL,205
299,raid,,,0,,NULL,206
300,raid,,,0,,NULL,207
301,raid,,,0,,NULL,208
302,raid,,,0,,NULL,209
303,raid,,,0,,NULL,210
304,raid,,,0,,NULL,211
305,raid,,,0,,NULL,212
306,raid,,,0,,NULL,213
307,raid,,,0,,NULL,214
308,raid,,,0,,NULL,215
309,raid,,,0,,NULL,216
310,raid,,,0,,NULL,217
311,raid,,,0,,NULL,218
312,raid,,,0,,NULL,219
313,raid,,,0,,NULL,220
314,raid,,,0,,NULL,221
315,raid,,,0,,NULL,222
316,raid,,,0,,NULL,223
317,raid,,,0,,NULL,224
318,raid,,,0,,NULL,225
319,raid,,,0,,NULL,226
320,raid,,,0,,NULL,227
321,raid,,,0,,NULL,228
322,raid,,,0,,NULL,229
323,raid,,,0,,NULL,230
324,raid,,,0,,NULL,231
325,raid,,,0,,NULL,232
326,raid,,,0,,NULL,233
327,raid,,,0,,NULL,234
328,raid,,,0,,NULL,235
329,raid,,,0,,NULL,236
330,raid,,,0,,NULL,237
331,raid,,,0,,NULL,238
332,raid,,,0,,NULL,239
333,raid,,,0,,NULL,240
334,raid,,,0,,NULL,241
335,raid,,,0,,NULL,242
336,raid,,,0,,NULL,243
337,raid,,,0,,NULL,244
338,raid,,,0,,NULL,245
339,raid,,,0,,NULL,246
340,raid,,,0,,NULL,247
341,raid,,,0,,NULL,248
342,raid,,,0,,NULL,249
343,raid,,,0,,NULL,250
344,raid,,,0,,NULL,251
345,raid,,,0,,NULL,252
346,raid,,,0,,NULL,253
347,raid,,,0,,NULL,254
348,raid,,,0,,NULL,255
349,raid,,,0,,NULL,256
350,raid,,,0,,NULL,257
351,raid,,,0,,NULL,258
352,raid,,,0,,NULL,259
353,raid,,,0,,NULL,260
354,raid,,,0,,NULL,261
355,raid,,,0,,NULL,262
356,raid,,,0,,NULL,263
357,raid,,,0,,NULL,264
358,raid,,,0,,NULL,265
359,raid,,,0,,NULL,266
360,raid,,,0,,NULL,267
361,raid,,,0,,NULL,268
362,raid,,,0,,NULL,269
363,raid,,,0,,NULL,270
364,raid,,,0,,NULL,271
365,raid,,,0,,NULL,272
366,raid,,,0,,NULL,273
367,raid,,,0,,NULL,274
368,raid,,,0,,NULL,275
369,raid,,,0,,NULL,276
370,raid,,,0,,NULL,277
371,raid,,,0,,NULL,278
372,raid,,,0,,NULL,279
373,raid,,,0,,NULL,280
374,other,"•夜狼山宝箱,野人首领,王史涯",,0,,NULL,NULL
375,raid,,,0,,NULL,281
376,raid,,,0,,NULL,282
377,raid,,,0,,NULL,283
378,raid,,,0,,NULL,284
379,raid,,,0,,NULL,285
380,raid,,,0,,NULL,286
381,raid,,,0,,NULL,287
382,raid,,,0,,NULL,288
383,raid,,,0,,NULL,289
384,raid,,,0,,NULL,290
385,raid,,,0,,NULL,291
386,raid,,,0,,NULL,292
387,raid,,,0,,NULL,293
388,raid,,,0,,NULL,294
389,raid,,,0,,NULL,295
390,raid,,,0,,NULL,296
391,raid,,,0,,NULL,297
392,raid,,,0,,NULL,298
393,raid,,,0,,NULL,299
394,raid,,,0,,NULL,300
395,raid,,,0,,NULL,301
396,redeem,Roguelike浪客行外围商店,,0,store,NULL,NULL
397,reputation,,,0,,50,NULL
398,reputation,,,0,,51,NULL
399,reputation,,,0,,52,NULL
400,reputation,,,0,,53,NULL
401,reputation,,,0,,54,NULL
402,reputation,,,0,,55,NULL
403,reputation,,,0,,56,NULL
404,reputation,,,0,,57,NULL
405,reputation,,,0,,58,NULL
406,reputation,,,0,,59,NULL
407,reputation,,,0,,60,NULL
408,reputation,,,0,,61,NULL
409,reputation,,,0,,62,NULL
410,reputation,,,0,,63,NULL
411,reputation,,,0,,64,NULL
412,reputation,,,0,,65,NULL
413,reputation,,,0,,66,NULL
414,reputation,,,0,,67,NULL
415,raid,,,0,,NULL,302
416,raid,,,0,,NULL,303
417,raid,,,0,,NULL,304
418,raid,,,0,,NULL,305
419,raid,,,0,,NULL,306
420,raid,,,0,,NULL,307
421,raid,,,0,,NULL,308
422,raid,,,0,,NULL,309
423,raid,,,0,,NULL,310
424,raid,,,0,,NULL,311
425,raid,,,0,,NULL,312
426,raid,,,0,,NULL,313
427,raid,,,0,,NULL,314
428,raid,,,0,,NULL,315
429,raid,,,0,,NULL,316
430,raid,,,0,,NULL,317
431,raid,,,0,,NULL,318
432,raid,,,0,,NULL,319
433,raid,,,0,,NULL,320
434,raid,,,0,,NULL,321
435,raid,,,0,,NULL,322
436,raid,,,0,,NULL,323
437,raid,,,0,,NULL,324
438,raid,,,0,,NULL,325
439,raid,,,0,,NULL,326
440,raid,,,0,,NULL,327
441,raid,,,0,,NULL,328
442,raid,,,0,,NULL,329
443,raid,,,0,,NULL,330
444,raid,,,0,,NULL,331
445,raid,,,0,,NULL,332
446,raid,,,0,,NULL,333
447,raid,,,0,,NULL,334
448,raid,,,0,,NULL,335
449,raid,,,0,,NULL,336
450,raid,,,0,,NULL,337
451,raid,,,0,,NULL,338
452,raid,,,0,,NULL,339
453,raid,,,0,,NULL,340
454,raid,,,0,,NULL,341
455,raid,,,0,,NULL,342
456,raid,,,0,,NULL,343
457,raid,,,0,,NULL,344
458,raid,,,0,,NULL,345
459,raid,,,0,,NULL,346
460,raid,,,0,,NULL,347
461,raid,,,0,,NULL,348
462,raid,,,0,,NULL,349
463,raid,,,0,,NULL,350
464,raid,,,0,,NULL,351
465,raid,,,0,,NULL,352
466,raid,,,0,,NULL,353
467,raid,,,0,,NULL,354
468,raid,,,0,,NULL,355
469,raid,,,0,,NULL,356
470,raid,,,0,,NULL,357
471,raid,,,0,,NULL,358
472,raid,,,0,,NULL,359
473,raid,,,0,,NULL,360
474,raid,,,0,,NULL,361
475,raid,,,0,,NULL,362
476,raid,,,0,,NULL,363
477,raid,,,0,,NULL,364
478,raid,,,0,,NULL,365
479,raid,,,0,,NULL,366
480,raid,,,0,,NULL,367
481,raid,,,0,,NULL,368
482,raid,,,0,,NULL,369
483,raid,,,0,,NULL,370
484,raid,,,0,,NULL,371
485,raid,,,0,,NULL,372
486,raid,,,0,,NULL,373
487,raid,,,0,,NULL,374
488,raid,,,0,,NULL,375
489,raid,,,0,,NULL,376
490,raid,,,0,,NULL,377
491,raid,,,0,,NULL,378
492,raid,,,0,,NULL,379
493,raid,,,0,,NULL,380
494,raid,,,0,,NULL,381
495,raid,,,0,,NULL,382
496,raid,,,0,,NULL,383
497,raid,,,0,,NULL,384
498,raid,,,0,,NULL,385
499,raid,,,0,,NULL,386
500,raid,,,0,,NULL,387
501,raid,,,0,,NULL,388
502,raid,,,0,,NULL,389
503,raid,,,0,,NULL,390
504,raid,,,0,,NULL,391
505,raid,,,0,,NULL,392
506,raid,,,0,,NULL,393
507,raid,,,0,,NULL,394
508,raid,,,0,,NULL,395
509,raid,,,0,,NULL,396
510,raid,,,0,,NULL,397
511,raid,,,0,,NULL,398
512,raid,,,0,,NULL,399
513,raid,,,0,,NULL,400
514,raid,,,0,,NULL,401
515,raid,,,0,,NULL,402
516,raid,,,0,,NULL,403
517,raid,,,0,,NULL,404
518,raid,,,0,,NULL,405
519,raid,,,0,,NULL,406
520,raid,,,0,,NULL,407
521,raid,,,0,,NULL,408
522,raid,,,0,,NULL,409
523,raid,,,0,,NULL,410
524,raid,,,0,,NULL,411
525,raid,,,0,,NULL,412
526,raid,,,0,,NULL,413
527,raid,,,0,,NULL,414
528,raid,,,0,,NULL,415
529,raid,,,0,,NULL,416
530,raid,,,0,,NULL,417
531,raid,,,0,,NULL,418
532,raid,,,0,,NULL,419
533,raid,,,0,,NULL,420
534,raid,,,0,,NULL,421
535,raid,,,0,,NULL,422
536,raid,,,0,,NULL,423
537,raid,,,0,,NULL,424
538,raid,,,0,,NULL,425
539,raid,,,0,,NULL,426
540,raid,,,0,,NULL,427
541,raid,,,0,,NULL,428
542,raid,,,0,,NULL,429
543,raid,,,0,,NULL,430
544,raid,,,0,,NULL,431
545,raid,,,0,,NULL,432
546,raid,,,0,,NULL,433
547,raid,,,0,,NULL,434
548,raid,,,0,,NULL,435
549,raid,,,0,,NULL,436
550,raid,,,0,,NULL,437
551,raid,,,0,,NULL,438
552,raid,,,0,,NULL,439
553,raid,,,0,,NULL,440
554,raid,,,0,,NULL,441
555,raid,,,0,,NULL,442
556,raid,,,0,,NULL,443
557,raid,,,0,,NULL,444
558,raid,,,0,,NULL,445
559,raid,,,0,,NULL,446
560,raid,,,0,,NULL,447
561,raid,,,0,,NULL,448
562,raid,,,0,,NULL,449
563,reputation,,,0,,68,NULL
564,reputation,,,0,,69,NULL
565,reputation,,,0,,70,NULL
566,reputation,,,0,,71,NULL
567,reputation,,,0,,72,NULL
568,reputation,,,0,,73,NULL
569,reputation,,,0,,74,NULL
570,reputation,,,0,,75,NULL
571,reputation,,,0,,76,NULL
572,reputation,,,0,,77,NULL
573,other,任务•慕容红云,,0,,NULL,NULL
574,raid,,,0,,NULL,450
575,raid,,,0,,NULL,451
576,other,"任务•终不察夫民心,大营救,城中帮派",,0,,NULL,NULL
577,other,"任务•王于兴师修我戈矛,狼牙擂·荣耀,漏网之鱼",,0,,NULL,NULL
578,other,"任务•此邦之人不可欺主,岂余身之惮殃兮,蒿芩同根不死不萎,狼牙刺客,紧急任务,飞灯寄情,雪村一夜,兵分两路",,0,,NULL,NULL
579,other,"任务•饥不择食,心灰情义冷",,0,,NULL,NULL
580,other,"任务•赈济难民,码头碰运气",,0,,NULL,NULL
581,other,"任务•往梦激浪,无辜女子,多谢相助,宴会小风波,摇身成商户",,0,,NULL,NULL
582,raid,,,0,,NULL,452
583,raid,,,0,,NULL,453
584,reputation,,,0,,78,NULL
585,reputation,,,0,,79,NULL
586,reputation,,,0,,80,NULL
587,reputation,,,0,,81,NULL
588,other,任务•浩淼海域人世变,,0,,NULL,NULL
589,other,任务•狂寇摧败颓势倾,,0,,NULL,NULL
590,reputation,,,0,,82,NULL
591,reputation,,,0,,83,NULL
592,reputation,,,0,,84,NULL
593,reputation,,,0,,85,NULL
594,reputation,,,0,,86,NULL
595,reputation,,,0,,87,NULL
596,reputation,,,0,,88,NULL
597,reputation,,,0,,89,NULL
598,reputation,,,0,,90,NULL
599,reputation,,,0,,91,NULL
600,reputation,,,0,,92,NULL
601,reputation,,,0,,93,NULL
602,other,任务•依稀旧事,,0,,NULL,NULL
603,reputation,,,0,,94,NULL
604,reputation,,,0,,95,NULL
605,reputation,,,0,,96,NULL
606,reputation,,,0,,97,NULL
607,other,任务•暗夜潜行,,0,,NULL,NULL
608,other,任务•埋剑当年,,0,,NULL,NULL
609,raid,,,0,,NULL,454
610,other,任务•浊世,,0,,NULL,NULL
611,other,"任务•黑心鼠辈,火雷灭贼",,0,,NULL,NULL
612,other,"任务•例行巡查,询问村民",,0,,NULL,NULL
613,other,"任务•恐惧爆发,引路花海,水贼进攻,救治村民",,0,,NULL,NULL
614,other,"任务•匪首现行,且服灵药",,0,,NULL,NULL
615,other,"任务•舍己度人,同心共进",,0,,NULL,NULL
616,other,"任务•清梵之危,惊天眠术,死战不退",,0,,NULL,NULL
617,raid,,,0,,NULL,455
618,raid,,,0,,NULL,456
619,reputation,,,0,,98,NULL
620,reputation,,,0,,99,NULL
621,reputation,,,0,,100,NULL
622,reputation,,,0,,101,NULL
623,other,任务•挖地寻宝,,0,,NULL,NULL
624,other,•醉猿的酒坛,,0,,NULL,NULL
625,raid,,,0,,NULL,457
626,raid,,,0,,NULL,458
627,raid,,,0,,NULL,459
628,raid,,,0,,NULL,460
629,raid,,,0,,NULL,461
630,raid,,,0,,NULL,462
631,raid,,,0,,NULL,463
632,raid,,,0,,NULL,464
633,raid,,,0,,NULL,465
634,raid,,,0,,NULL,466
635,raid,,,0,,NULL,467
636,raid,,,0,,NULL,468
637,raid,,,0,,NULL,469
638,raid,,,0,,NULL,470
639,raid,,,0,,NULL,471
640,raid,,,0,,NULL,472
641,raid,,,0,,NULL,473
642,raid,,,0,,NULL,474
643,raid,,,0,,NULL,475
644,raid,,,0,,NULL,476
645,raid,,,0,,NULL,477
646,raid,,,0,,NULL,478
647,raid,,,0,,NULL,479
648,raid,,,0,,NULL,480
649,raid,,,0,,NULL,481
650,raid,,,0,,NULL,482
651,raid,,,0,,NULL,483
652,reputation,,,0,,102,NULL
653,reputation,,,0,,103,NULL
654,reputation,,,0,,104,NULL
655,reputation,,,0,,105,NULL
656,other,任务•活心之剑,,0,,NULL,NULL
657,raid,,,0,,NULL,484
658,other,"任务•入陵多舛祸福但兮,检验身手,过往云烟",,0,,NULL,NULL
659,other,"任务•母氏圣善我无令人,国殇,雷狼护阵曰霆岚",,0,,NULL,NULL
660,other,"任务•仁人志士,展信知往事",,0,,NULL,NULL
661,other,"任务•士气大振,入敌为间,红尘酒家",,0,,NULL,NULL
662,raid,,,0,,NULL,485
663,raid,,,0,,NULL,486
664,raid,,,0,,NULL,487
665,raid,,,0,,NULL,488
666,raid,,,0,,NULL,489
667,raid,,,0,,NULL,490
668,raid,,,0,,NULL,491
669,raid,,,0,,NULL,492
670,raid,,,0,,NULL,493
671,raid,,,0,,NULL,494
672,raid,,,0,,NULL,495
673,raid,,,0,,NULL,496
674,raid,,,0,,NULL,497
675,raid,,,0,,NULL,498
676,raid,,,0,,NULL,499
677,raid,,,0,,NULL,500
678,raid,,,0,,NULL,501
679,raid,,,0,,NULL,502
680,raid,,,0,,NULL,503
681,other,任务•涅槃,,0,,NULL,NULL
682,other,任务•荣枯,,0,,NULL,NULL
683,other,任务•悲声,,0,,NULL,NULL
684,other,任务•千山月影,,0,,NULL,NULL
685,other,任务•赤乌流火,,0,,NULL,NULL
686,other,任务•神威,,0,,NULL,NULL
687,other,任务•霜影玄玑,,0,,NULL,NULL
688,other,任务•瀚海长风,,0,,NULL,NULL
689,other,任务•羲和凰羽,,0,,NULL,NULL
690,other,任务•沧澜·沉歌,,0,,NULL,NULL
691,other,任务•蛇影迷蝶,,0,,NULL,NULL
692,other,任务•咫尺韶华,,0,,NULL,NULL
693,other,任务•鹫翎诡夺,,0,,NULL,NULL
694,other,任务•螭首千机,,0,,NULL,NULL
695,other,任务•君行四海·鹿卢,,0,,NULL,NULL
696,other,任务•厉风炽海,,0,,NULL,NULL
697,other,任务•阴阳往极,,0,,NULL,NULL
698,other,任务•圣炎耀尊,,0,,NULL,NULL
699,other,任务•十律守心·猊焰,,0,,NULL,NULL
700,other,任务•十律守心·犴魂,,0,,NULL,NULL
701,other,任务•青雀无尘,,0,,NULL,NULL
702,other,任务•念庭兰,,0,,NULL,NULL
703,other,任务•沧骨曜月,,0,,NULL,NULL
704,other,任务•寒魄玉心,,0,,NULL,NULL
705,other,任务•临渊,,0,,NULL,NULL
706,raid,,,0,,NULL,504
707,raid,,,0,,NULL,505
708,raid,,,0,,NULL,506
709,raid,,,0,,NULL,507
710,raid,,,0,,NULL,508
711,raid,,,0,,NULL,509
712,raid,,,0,,NULL,510
713,raid,,,0,,NULL,511
714,raid,,,0,,NULL,512
715,raid,,,0,,NULL,513
716,raid,,,0,,NULL,514
717,raid,,,0,,NULL,515
718,raid,,,0,,NULL,516
719,raid,,,0,,NULL,517
720,raid,,,0,,NULL,518
721,raid,,,0,,NULL,519
722,raid,,,0,,NULL,520
723,raid,,,0,,NULL,521
724,raid,,,0,,NULL,522
725,raid,,,0,,NULL,523
726,raid,,,0,,NULL,524
727,raid,,,0,,NULL,525
728,raid,,,0,,NULL,526
729,raid,,,0,,NULL,527
730,raid,,,0,,NULL,528
731,raid,,,0,,NULL,529
732,raid,,,0,,NULL,530
733,raid,,,0,,NULL,531
734,raid,,,0,,NULL,532
735,raid,,,0,,NULL,533
736,raid,,,0,,NULL,534
737,raid,,,0,,NULL,535
738,raid,,,0,,NULL,536
739,raid,,,0,,NULL,537
740,raid,,,0,,NULL,538
741,raid,,,0,,NULL,539
742,raid,,,0,,NULL,540
743,raid,,,0,,NULL,541
744,other,神兵试炼,,0,,NULL,NULL
745,raid,,,0,,NULL,542
746,raid,,,0,,NULL,543
747,raid,,,0,,NULL,544
748,raid,,,0,,NULL,545
749,raid,,,0,,NULL,546
750,raid,,,0,,NULL,547
751,raid,,,0,,NULL,548
752,raid,,,0,,NULL,549
753,raid,,,0,,NULL,550
754,raid,,,0,,NULL,551
755,other,"•关卡宝箱,关卡宝箱",,0,,NULL,NULL
756,raid,,,0,,NULL,552
